Iteration,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Bright Pixel Ratio,Epsilon
73,2,BSDF Heavy,0,High,2,High,2,14.8536,3399.8,0.110264,0.1
74,2,BSDF Heavy,0,High,2,High,2,14.8871,3407.7,0.109973,0.1
75,2,BSDF Heavy,0,High,2,High,2,14.9742,3427.97,0.110131,0.1
76,2,BSDF Heavy,0,High,2,High,2,14.8593,3402.15,0.109859,0.1
77,2,BSDF Heavy,0,High,2,High,2,14.8146,3390.87,0.10973,0.1
78,2,BSDF Heavy,0,High,2,High,2,14.8636,3402.21,0.109556,0.1
79,2,BSDF Heavy,0,High,2,High,2,14.7429,3375.33,0.109848,0.1
80,2,BSDF Heavy,0,High,2,High,2,15.0957,3453.85,0.110556,0.1
81,2,BSDF Heavy,0,High,2,High,2,14.913,3414.53,0.109996,0.1
82,2,BSDF Heavy,0,High,2,High,2,14.856,3401.5,0.110174,0.1
83,2,BSDF Heavy,0,High,2,High,2,14.9891,3432.23,0.110185,0.1
84,2,BSDF Heavy,0,High,2,High,2,14.9249,3416.56,0.110312,0.1
85,2,BSDF Heavy,0,High,2,High,2,14.8548,3403.46,0.109718,0.1
86,2,BSDF Heavy,0,High,2,High,2,14.8081,3388.48,0.109718,0.1
87,2,BSDF Heavy,0,High,2,High,2,14.8252,3393.15,0.1099,0.1
88,2,BSDF Heavy,0,High,2,High,2,14.7955,3388.55,0.109593,0.1
89,2,BSDF Heavy,0,High,2,High,2,14.9617,3422.86,0.110664,0.1
90,2,BSDF Heavy,0,High,2,High,2,14.8106,3389.02,0.110019,0.1
91,2,BSDF Heavy,0,High,2,High,2,14.8913,3407.01,0.109799,0.1
92,2,BSDF Heavy,0,High,2,High,2,14.8937,3407.91,0.110338,0.1
93,2,BSDF Heavy,0,High,2,High,2,14.8202,3396.23,0.109383,0.1
94,2,BSDF Heavy,0,High,2,High,2,14.8549,3403.07,0.109502,0.1
95,2,BSDF Heavy,0,High,2,High,2,14.814,3392,0.110066,0.1
96,2,BSDF Heavy,0,High,2,High,2,14.8966,3410.13,0.110311,0.1
97,2,BSDF Heavy,0,High,2,High,2,14.8681,3404.97,0.109925,0.1
98,2,BSDF Heavy,0,High,2,High,2,14.8069,3389.14,0.109753,0.1
99,2,BSDF Heavy,0,High,2,High,2,14.859,3401.57,0.109828,0.1
100,2,Light Heavy,2,High,2,Low,0,14.836,3396.35,0.110075,0.1
101,0,BSDF Heavy,-2,Low,0,High,2,3.94412,910.467,0.0470718,0.1
102,2,Light Heavy,2,High,2,Low,0,14.9181,3415.64,0.109954,0.1
103,0,BSDF Heavy,-2,Low,0,High,2,3.9109,901.894,0.047012,0.1
104,2,Balanced,1,High,2,Medium,1,14.9043,3414.19,0.110272,0.1
105,1,BSDF Heavy,-1,Medium,1,High,2,8.73302,1999.31,0.0942573,0.1
106,2,Light Heavy,2,High,2,Low,0,14.8867,3406.93,0.110174,0.1
107,0,BSDF Heavy,-2,Low,0,High,2,3.88613,897.109,0.047037,0.1
108,2,BSDF Heavy,0,High,2,High,2,14.8429,3398.91,0.109687,0.1
109,2,BSDF Heavy,0,High,2,High,2,14.8094,3392.27,0.109659,0.1
110,2,BSDF Heavy,0,High,2,High,2,14.8,3388.82,0.109994,0.1
111,2,BSDF Heavy,0,High,2,High,2,14.8252,3390.79,0.109905,0.1
112,2,BSDF Heavy,0,High,2,High,2,14.8681,3405.76,0.109493,0.1
113,2,BSDF Heavy,0,High,2,High,2,14.9764,3429.94,0.109884,0.1
114,2,BSDF Heavy,0,High,2,High,2,14.852,3398.68,0.109898,0.1
115,2,BSDF Heavy,0,High,2,High,2,14.8807,3408,0.109973,0.1
116,2,BSDF Heavy,0,High,2,High,2,14.9506,3423.77,0.110154,0.1
117,2,BSDF Heavy,0,High,2,High,2,14.9302,3417.87,0.110118,0.1
118,2,BSDF Heavy,0,High,2,High,2,14.9774,3428.11,0.110785,0.1
119,2,BSDF Heavy,0,High,2,High,2,14.8368,3397.9,0.109574,0.1
120,2,BSDF Heavy,0,High,2,High,2,14.776,3385.75,0.109271,0.1
121,2,BSDF Heavy,0,High,2,High,2,14.8927,3410.14,0.110039,0.1
122,2,BSDF Heavy,0,High,2,High,2,14.8022,3389.57,0.109682,0.1
123,2,BSDF Heavy,0,High,2,High,2,14.9096,3412.88,0.110106,0.1
124,2,BSDF Heavy,0,High,2,High,2,14.8026,3390.22,0.109558,0.1
125,2,BSDF Heavy,0,High,2,High,2,14.7536,3378.88,0.10913,0.1
126,2,BSDF Heavy,0,High,2,High,2,14.8328,3398.85,0.109608,0.1
127,2,BSDF Heavy,0,High,2,High,2,14.9154,3412.7,0.109522,0.1
128,2,BSDF Heavy,0,High,2,High,2,15.0797,3450.07,0.110644,0.1
129,2,BSDF Heavy,0,High,2,High,2,14.8888,3407.41,0.110241,0.1
130,2,BSDF Heavy,0,High,2,High,2,14.7292,3373.23,0.109142,0.1
131,2,BSDF Heavy,0,High,2,High,2,14.9394,3417.31,0.110309,0.1
132,2,BSDF Heavy,0,High,2,High,2,14.9316,3417.71,0.10988,0.1
133,2,BSDF Heavy,0,High,2,High,2,14.7899,3384.31,0.110081,0.1
134,2,BSDF Heavy,0,High,2,High,2,14.8546,3400.14,0.109875,0.1
135,2,BSDF Heavy,0,High,2,High,2,14.881,3407.28,0.110193,0.1
136,2,BSDF Heavy,0,High,2,High,2,14.8829,3407.32,0.10977,0.1
137,2,BSDF Heavy,0,High,2,High,2,14.8445,3401.05,0.109323,0.1
138,2,BSDF Heavy,0,High,2,High,2,14.9535,3424.61,0.109568,0.1
139,2,BSDF Heavy,0,High,2,High,2,14.8894,3409.08,0.1094,0.1
140,2,BSDF Heavy,0,High,2,High,2,14.759,3379.71,0.109348,0.1
141,2,BSDF Heavy,0,High,2,High,2,14.7725,3384.68,0.108935,0.1
142,2,BSDF Heavy,0,High,2,High,2,14.8579,3402.79,0.109171,0.1
143,2,BSDF Heavy,0,High,2,High,2,15.0208,3437.96,0.110328,0.1
144,2,BSDF Heavy,0,High,2,High,2,14.976,3428.17,0.110264,0.1
145,2,BSDF Heavy,0,High,2,High,2,14.8089,3389.26,0.109896,0.1
146,2,BSDF Heavy,0,High,2,High,2,14.9449,3421.35,0.10972,0.1
147,2,Light Heavy,2,High,2,Low,0,14.8387,3399.38,0.109186,0.1
148,0,BSDF Heavy,-2,Low,0,High,2,3.9232,906.165,0.0470351,0.1
149,2,Balanced,1,High,2,Medium,1,14.8474,3401.46,0.109639,0.1
150,1,BSDF Heavy,-1,Medium,1,High,2,8.56763,1959.55,0.0937076,0.1
151,2,Light Heavy,2,High,2,Low,0,14.8092,3390.53,0.109992,0.1
152,0,BSDF Heavy,-2,Low,0,High,2,3.88545,895.629,0.0467361,0.1
153,2,Light Heavy,2,High,2,Low,0,14.9587,3424.71,0.110527,0.1
154,0,BSDF Heavy,-2,Low,0,High,2,3.94412,911.172,0.0469483,0.1
155,2,BSDF Heavy,0,High,2,High,2,14.9347,3415.99,0.110679,0.1
156,2,BSDF Heavy,0,High,2,High,2,14.849,3400.07,0.110085,0.1
157,2,BSDF Heavy,0,High,2,High,2,14.8395,3396.67,0.109554,0.1
158,2,BSDF Heavy,0,High,2,High,2,14.8833,3409.97,0.109927,0.1
159,2,BSDF Heavy,0,High,2,High,2,14.9241,3418.97,0.109832,0.1
160,2,BSDF Heavy,0,High,2,High,2,14.9047,3414.35,0.109672,0.1
161,2,BSDF Heavy,0,High,2,High,2,14.8214,3395.91,0.109226,0.1
162,2,BSDF Heavy,0,High,2,High,2,14.8289,3397.61,0.109612,0.1
163,2,BSDF Heavy,0,High,2,High,2,14.9651,3426.57,0.110492,0.1
164,2,BSDF Heavy,0,High,2,High,2,14.8936,3408.05,0.109919,0.1
165,2,BSDF Heavy,0,High,2,High,2,14.8415,3400.59,0.109597,0.1
166,2,BSDF Heavy,0,High,2,High,2,14.8448,3399.21,0.109284,0.1
167,2,BSDF Heavy,0,High,2,High,2,14.9503,3421.65,0.110326,0.1
168,2,BSDF Heavy,0,High,2,High,2,14.8493,3400.83,0.10979,0.1
169,2,BSDF Heavy,0,High,2,High,2,14.8522,3399.86,0.109784,0.1
170,2,BSDF Heavy,0,High,2,High,2,14.8751,3405.01,0.109859,0.1
171,2,Balanced,1,High,2,Medium,1,14.9055,3413.55,0.109782,0.1
172,1,BSDF Heavy,-1,Medium,1,High,2,8.64174,1976.49,0.0943403,0.1
173,2,Light Heavy,2,High,2,Low,0,14.8085,3391.25,0.109352,0.1
174,0,BSDF Heavy,-2,Low,0,High,2,3.92744,906.964,0.0466377,0.1
175,2,Light Heavy,2,High,2,Low,0,14.7746,3381.13,0.109408,0.1
176,0,BSDF Heavy,-2,Low,0,High,2,3.96333,915.992,0.0470679,0.1
177,2,Light Heavy,2,High,2,Low,0,14.8069,3388.08,0.109666,0.1
178,0,BSDF Heavy,-2,Low,0,High,2,3.97891,919.311,0.0470718,0.1
179,2,Balanced,1,High,2,Medium,1,14.8997,3412.04,0.109992,0.1
180,1,BSDF Heavy,-1,Medium,1,High,2,8.75257,2003.21,0.0947685,0.1
181,2,BSDF Heavy,0,High,2,High,2,14.9389,3420.45,0.10973,0.1
182,2,BSDF Heavy,0,High,2,High,2,14.8133,3390.2,0.110066,0.1
183,2,BSDF Heavy,0,High,2,High,2,14.8244,3397,0.109352,0.1
184,2,BSDF Heavy,0,High,2,High,2,14.8247,3394.22,0.110191,0.1
185,2,BSDF Heavy,0,High,2,High,2,14.8721,3404.49,0.110073,0.1
186,2,BSDF Heavy,0,High,2,High,2,14.7995,3388.06,0.109504,0.1
187,2,BSDF Heavy,0,High,2,High,2,14.777,3386.09,0.109082,0.1
188,2,BSDF Heavy,0,High,2,High,2,14.7729,3383.52,0.109309,0.1
189,2,BSDF Heavy,0,High,2,High,2,14.92,3414.07,0.110324,0.1
190,2,BSDF Heavy,0,High,2,High,2,14.924,3418.11,0.110023,0.1
191,2,BSDF Heavy,0,High,2,High,2,14.9743,3426.37,0.110556,0.1
192,2,BSDF Heavy,0,High,2,High,2,14.9084,3411.36,0.110201,0.1
193,2,BSDF Heavy,0,High,2,High,2,14.9252,3416.7,0.110496,0.1
194,2,BSDF Heavy,0,High,2,High,2,14.9219,3419.11,0.110071,0.1
195,2,BSDF Heavy,0,High,2,High,2,14.8731,3403.52,0.110185,0.1
196,2,BSDF Heavy,0,High,2,High,2,14.7826,3383.94,0.109799,0.1
197,2,BSDF Heavy,0,High,2,High,2,14.9768,3429.06,0.110106,0.1
198,2,BSDF Heavy,0,High,2,High,2,14.8744,3405.8,0.109973,0.1
199,2,BSDF Heavy,0,High,2,High,2,14.8635,3400.35,0.109913,0.1
200,2,BSDF Heavy,0,High,2,High,2,14.8238,3397.38,0.109441,0.1
201,2,BSDF Heavy,0,High,2,High,2,14.7972,3391.8,0.109115,0.1
202,2,Balanced,1,High,2,Medium,1,14.9391,3418.74,0.110644,0.1
203,1,BSDF Heavy,-1,Medium,1,High,2,8.68032,1987.31,0.0936613,0.1
204,2,Light Heavy,2,High,2,Low,0,14.96,3423.35,0.11032,0.1
205,0,Balanced,-1,Low,0,Medium,1,3.84849,887.965,0.0465856,0.1
206,1,Balanced,0,Medium,1,Medium,1,8.73562,1997.08,0.095407,0.1
207,1,BSDF Heavy,-1,Medium,1,High,2,8.73719,2001.21,0.0940991,0.1
208,2,BSDF Heavy,0,High,2,High,2,14.8653,3404.32,0.109659,0.1
209,2,BSDF Heavy,0,High,2,High,2,14.875,3406.13,0.10999,0.1
210,2,BSDF Heavy,0,High,2,High,2,14.9919,3429.4,0.110639,0.1
211,2,BSDF Heavy,0,High,2,High,2,14.8702,3406.88,0.109851,0.1
212,2,BSDF Heavy,0,High,2,High,2,15.0117,3434.83,0.110592,0.1
213,2,BSDF Heavy,0,High,2,High,2,14.9852,3429.58,0.11034,0.1
214,2,BSDF Heavy,0,High,2,High,2,14.8107,3390.32,0.109736,0.1
215,2,BSDF Heavy,0,High,2,High,2,14.9238,3416.58,0.10978,0.1
216,2,BSDF Heavy,0,High,2,High,2,14.8276,3393.47,0.109821,0.1
217,2,BSDF Heavy,0,High,2,High,2,14.8293,3396.78,0.10963,0.1
218,2,BSDF Heavy,0,High,2,High,2,14.9041,3409.72,0.110662,0.1
219,2,BSDF Heavy,0,High,2,High,2,14.8882,3406.3,0.110432,0.1
220,2,BSDF Heavy,0,High,2,High,2,14.8422,3398.59,0.109624,0.1
221,2,BSDF Heavy,0,High,2,High,2,14.8455,3401.51,0.109479,0.1
222,2,BSDF Heavy,0,High,2,High,2,14.876,3405.93,0.110023,0.1
223,2,BSDF Heavy,0,High,2,High,2,14.7959,3387.32,0.109807,0.1
224,2,BSDF Heavy,0,High,2,High,2,14.7749,3383.73,0.109122,0.1
225,2,BSDF Heavy,0,High,2,High,2,14.8802,3408.71,0.109905,0.1
226,2,BSDF Heavy,0,High,2,High,2,14.852,3401.67,0.109747,0.1
227,2,BSDF Heavy,0,High,2,High,2,14.9067,3410.03,0.110532,0.1
228,2,BSDF Heavy,0,High,2,High,2,14.8922,3410.28,0.109801,0.1
229,2,BSDF Heavy,0,High,2,High,2,14.9129,3415.06,0.11001,0.1
230,2,BSDF Heavy,0,High,2,High,2,14.8842,3407.9,0.10973,0.1
231,2,BSDF Heavy,0,High,2,High,2,15.0264,3439.64,0.110367,0.1
232,2,BSDF Heavy,0,High,2,High,2,14.8016,3390.17,0.110008,0.1
233,2,BSDF Heavy,0,High,2,High,2,14.8819,3407.85,0.110187,0.1
234,2,Light Heavy,2,High,2,Low,0,14.8363,3396.74,0.109813,0.1
235,0,BSDF Heavy,-2,Low,0,High,2,3.96486,916.761,0.0470621,0.1
236,2,BSDF Heavy,0,High,2,High,2,14.8208,3394.01,0.109599,0.1
237,2,BSDF Heavy,0,High,2,High,2,14.8903,3407.66,0.11006,0.1
238,2,BSDF Heavy,0,High,2,High,2,14.9734,3426.03,0.110204,0.1
239,2,BSDF Heavy,0,High,2,High,2,14.9582,3426.32,0.109873,0.1
240,2,BSDF Heavy,0,High,2,High,2,14.7695,3379.68,0.10963,0.1
241,2,BSDF Heavy,0,High,2,High,2,14.8179,3393.53,0.109859,0.1
242,2,BSDF Heavy,0,High,2,High,2,14.972,3428.21,0.110494,0.1
243,2,BSDF Heavy,0,High,2,High,2,14.9208,3415.09,0.110095,0.1
244,2,BSDF Heavy,0,High,2,High,2,14.8342,3395.89,0.10983,0.1
245,2,Light Heavy,2,High,2,Low,0,14.8412,3400.75,0.109192,0.1
246,0,BSDF Heavy,-2,Low,0,High,2,3.98272,919.871,0.0471065,0.1
247,2,Balanced,1,High,2,Medium,1,14.9298,3418.25,0.110309,0.1
248,1,BSDF Heavy,-1,Medium,1,High,2,8.66346,1982.2,0.0941802,0.1
249,2,Light Heavy,2,High,2,Low,0,14.7988,3389.12,0.109875,0.1
250,0,BSDF Heavy,-2,Low,0,High,2,3.95803,914.19,0.0468422,0.1
251,2,Light Heavy,2,High,2,Low,0,14.8098,3390.35,0.109479,0.1
252,0,BSDF Heavy,-2,Low,0,High,2,3.91075,901.891,0.0472666,0.1
253,2,BSDF Heavy,0,High,2,High,2,14.9037,3410.35,0.110177,0.1
254,2,BSDF Heavy,0,High,2,High,2,14.7797,3383.83,0.109394,0.1
255,2,BSDF Heavy,0,High,2,High,2,15.0212,3437.9,0.110174,0.1
256,2,BSDF Heavy,0,High,2,High,2,14.866,3404.29,0.109936,0.1
257,2,Light Heavy,2,High,2,Low,0,14.9806,3426.38,0.110625,0.1
258,0,BSDF Heavy,-2,Low,0,High,2,3.98836,922.411,0.0471759,0.1
259,2,Balanced,1,High,2,Medium,1,14.7821,3385.47,0.1093,0.1
260,1,BSDF Heavy,-1,Medium,1,High,2,8.73855,1998.78,0.0948881,0.1
261,2,BSDF Heavy,0,High,2,High,2,14.9598,3424.68,0.109794,0.1
262,2,BSDF Heavy,0,High,2,High,2,14.7588,3379.45,0.10951,0.1
263,2,BSDF Heavy,0,High,2,High,2,14.8783,3405.84,0.110374,0.1
264,2,BSDF Heavy,0,High,2,High,2,14.9367,3415.48,0.110596,0.1
265,2,BSDF Heavy,0,High,2,High,2,14.8678,3403.08,0.110305,0.1
266,2,BSDF Heavy,0,High,2,High,2,14.8931,3409.2,0.109896,0.1
267,2,BSDF Heavy,0,High,2,High,2,14.9172,3411.71,0.110349,0.1
268,2,BSDF Heavy,0,High,2,High,2,14.8742,3404.3,0.109948,0.1
269,2,BSDF Heavy,0,High,2,High,2,14.9207,3416.33,0.110382,0.1
270,2,BSDF Heavy,0,High,2,High,2,14.8049,3391.91,0.109342,0.1
271,2,BSDF Heavy,0,High,2,High,2,14.8018,3389.47,0.109566,0.1
272,2,BSDF Heavy,0,High,2,High,2,14.8185,3394.18,0.109533,0.1
273,2,BSDF Heavy,0,High,2,High,2,14.9299,3416.18,0.110318,0.1
274,2,BSDF Heavy,0,High,2,High,2,14.8655,3403.7,0.110179,0.1
275,2,BSDF Heavy,0,High,2,High,2,14.8967,3408.09,0.110332,0.1
276,2,BSDF Heavy,0,High,2,High,2,14.9073,3410.65,0.11001,0.1
277,2,Light Heavy,2,High,2,Low,0,14.7902,3389.04,0.109637,0.1
278,0,BSDF Heavy,-2,Low,0,High,2,3.92513,905.81,0.0472338,0.1
279,2,Light Heavy,2,High,2,Low,0,14.9908,3433.37,0.110237,0.1
280,0,BSDF Heavy,-2,Low,0,High,2,3.93232,907.424,0.0471103,0.1
281,2,BSDF Heavy,0,High,2,High,2,14.808,3392.03,0.109842,0.1
282,2,BSDF Heavy,0,High,2,High,2,14.9567,3425.35,0.110031,0.1
283,2,BSDF Heavy,0,High,2,High,2,14.8581,3402.56,0.109759,0.1
284,2,BSDF Heavy,0,High,2,High,2,14.7269,3372.81,0.109138,0.1
285,2,BSDF Heavy,0,High,2,High,2,14.8024,3387.9,0.110179,0.1
286,2,BSDF Heavy,0,High,2,High,2,15.0265,3441.06,0.110297,0.1
287,2,BSDF Heavy,0,High,2,High,2,14.9284,3416.17,0.11012,0.1
288,2,BSDF Heavy,0,High,2,High,2,14.948,3423.02,0.109877,0.1
289,2,BSDF Heavy,0,High,2,High,2,14.9608,3426.8,0.110552,0.1
290,2,BSDF Heavy,0,High,2,High,2,14.8483,3399.75,0.109508,0.1
291,2,BSDF Heavy,0,High,2,High,2,14.9195,3415.91,0.109799,0.1
292,2,BSDF Heavy,0,High,2,High,2,14.9231,3419.85,0.109909,0.1
293,2,BSDF Heavy,0,High,2,High,2,14.9003,3409.53,0.109705,0.1
294,2,BSDF Heavy,0,High,2,High,2,14.8548,3402.6,0.109664,0.1
295,2,BSDF Heavy,0,High,2,High,2,14.8781,3406.89,0.110199,0.1
296,2,BSDF Heavy,0,High,2,High,2,14.8158,3392.42,0.109865,0.1
297,2,BSDF Heavy,0,High,2,High,2,15.0106,3435.95,0.110367,0.1
298,2,BSDF Heavy,0,High,2,High,2,14.914,3410.22,0.110311,0.1
299,2,BSDF Heavy,0,High,2,High,2,14.9689,3427.38,0.110804,0.1
300,2,BSDF Heavy,0,High,2,High,2,14.9008,3409.63,0.110083,0.1
301,2,BSDF Heavy,0,High,2,High,2,14.9591,3424.39,0.110509,0.1
302,2,Light Heavy,2,High,2,Low,0,14.909,3413.59,0.110345,0.1
303,0,BSDF Heavy,-2,Low,0,High,2,3.94109,908.838,0.0477006,0.1
304,2,Balanced,1,High,2,Medium,1,14.8214,3395.3,0.109657,0.1
305,1,BSDF Heavy,-1,Medium,1,High,2,8.68596,1985.09,0.0946644,0.1
306,2,BSDF Heavy,0,High,2,High,2,14.8616,3406.78,0.109419,0.1
307,2,BSDF Heavy,0,High,2,High,2,14.9112,3411.72,0.109674,0.1
308,2,BSDF Heavy,0,High,2,High,2,14.9122,3414.32,0.110091,0.1
309,2,BSDF Heavy,0,High,2,High,2,14.8029,3388.89,0.11001,0.1
310,2,BSDF Heavy,0,High,2,High,2,14.941,3423.7,0.109938,0.1
311,2,BSDF Heavy,0,High,2,High,2,14.7702,3381.43,0.10928,0.1
312,2,BSDF Heavy,0,High,2,High,2,14.892,3408.88,0.110033,0.1
313,2,BSDF Heavy,0,High,2,High,2,14.8156,3391.49,0.109757,0.1
314,2,BSDF Heavy,0,High,2,High,2,14.9737,3425.74,0.110945,0.1
315,2,BSDF Heavy,0,High,2,High,2,14.9062,3412.19,0.109882,0.1
316,2,BSDF Heavy,0,High,2,High,2,14.8734,3404.38,0.109759,0.1
317,2,BSDF Heavy,0,High,2,High,2,14.9863,3428.72,0.110918,0.1
318,2,BSDF Heavy,0,High,2,High,2,14.8576,3400.03,0.110276,0.1
319,2,BSDF Heavy,0,High,2,High,2,14.8646,3400.33,0.110282,0.1
320,2,BSDF Heavy,0,High,2,High,2,14.9005,3408.53,0.109796,0.1
321,2,Light Heavy,2,High,2,Low,0,14.8576,3401.74,0.109448,0.1
322,0,Light Heavy,0,Low,0,Low,0,3.91171,903.241,0.046522,0.1
323,0,Light Heavy,0,Low,0,Low,0,3.88345,896.353,0.0466686,0.1
324,0,Light Heavy,0,Low,0,Low,0,3.94021,908.657,0.047608,0.1
