Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,67.8613,5298.02,8.57528,0.768382,0.1
2,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.2512,4403.94,8.39048,0.58048,0.1
3,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.1649,4406.11,8.39097,0.579579,0.1
4,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.1077,4398.98,8.38936,0.579007,0.1
5,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.243,4409.08,8.39165,0.580032,0.1
6,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.2221,4406.48,8.39106,0.579904,0.1
7,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.0734,4397.79,8.38908,0.578745,0.1
8,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,44.1943,4405.95,8.39094,0.579589,0.19992
9,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,77.0742,5333.73,8.58199,0.842251,0.19992
10,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,77.0201,5343.43,8.58381,0.841402,0.19992
11,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,77.0241,5338.77,8.58294,0.84185,0.19992
12,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,76.9953,5341.62,8.58347,0.841508,0.19992
13,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,76.9589,5340.15,8.5832,0.841233,0.19992
14,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,77.2925,5344.9,8.58408,0.843208,0.19992
15,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,77.1826,5342.6,8.58365,0.842432,0.19992
16,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,77.0155,5340.28,8.58322,0.841692,0.19984
17,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.3294,4419.06,8.39391,0.5803,0.19984
18,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.2544,4412.9,8.39251,0.580078,0.19984
19,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.1636,4403.67,8.39042,0.579307,0.19984
20,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.0636,4397.35,8.38898,0.57876,0.19984
21,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.2943,4412.93,8.39252,0.580361,0.19984
22,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,44.2089,4414.11,8.39279,0.579218,0.19984
