Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,Balanced,0,Low,0,Low,0,3.25957,721.745,6.58306,0.0627142,0.1
2,RL,0,Balanced,0.492191,Low,0,Low,0,3.24261,718.196,6.57813,0.0627718,0.1
3,RL,0,Balanced,-0.200891,Low,0,Low,0,3.24153,719.642,6.58014,0.0628003,0.1
4,RL,0,Balanced,-0.542498,Low,0,Low,0,3.26149,723.562,6.58557,0.0625328,0.1
5,RL,0,Balanced,-0.087738,Low,0,Low,0,3.26993,724.198,6.58645,0.0628664,0.1
6,RL,0,Balanced,0.380516,Low,0,Low,0,3.25685,721.444,6.58264,0.0624207,0.1
7,RL,0,Balanced,0.79031,Low,0,Low,0,3.22907,715.757,6.57474,0.0627665,0.1
8,RL,0,Balanced,-1,Low,0,Low,0,3.27831,727.939,6.59159,0.0626573,0.1
9,RL,0,Balanced,1,Low,0,Low,0,3.24031,718.186,6.57812,0.0628018,0.1
10,RL,0,Balanced,-0.796127,Low,0,Low,0,3.26458,723.934,6.58608,0.0627749,0.1
11,RL,0,Balanced,-0.304222,Low,0,Low,0,3.27776,726.143,6.58912,0.0630623,0.1
12,RL,0,Balanced,0.947475,Low,0,Low,0,3.24706,719.286,6.57965,0.0631761,0.1
13,RL,0,Balanced,-0.569773,Low,0,Low,0,3.2636,723.402,6.58535,0.0626089,0.1
14,RL,0,Balanced,0.224018,Low,0,Low,0,3.25384,721.781,6.58311,0.0627165,0.1
15,RL,0,Balanced,-0.222731,Low,0,Low,0,3.25799,723.392,6.58533,0.0624721,0.1
16,RL,0,BSDF Heavy,0.205135,Low,0,Low,0,3.24972,721.908,6.58328,0.0622908,0.19984
17,RL,0,BSDF Heavy,0.774336,Low,0,Low,0,3.23871,716.332,6.57554,0.0662215,0.19984
18,RL,0,BSDF Heavy,-1,Low,0,Low,0,3.28916,728.945,6.59297,0.0659356,0.19984
19,RL,0,BSDF Heavy,1,Low,0,Low,0,3.25587,720.784,6.58173,0.0658857,0.19984
20,RL,0,BSDF Heavy,-0.0619888,Low,0,Low,0,3.25476,721.232,6.58235,0.0656728,0.19984
21,RL,0,BSDF Heavy,-0.76046,Low,0,Low,0,3.28006,726.745,6.58995,0.0658741,0.19984
22,RL,0,BSDF Heavy,1,Low,0,Low,0,3.24897,719.206,6.57954,0.0656659,0.19984
23,RL,0,BSDF Heavy,0.00152588,Low,0,Low,0,3.24378,719.195,6.57952,0.0654776,0.19984
24,RL,0,BSDF Heavy,0.561047,Low,0,Low,0,3.22751,715.165,6.57391,0.0658326,0.19984
25,RL,0,BSDF Heavy,-0.786066,Low,0,Low,0,3.25372,720.817,6.58177,0.0659786,0.19984
26,RL,0,BSDF Heavy,0.665522,Low,0,Low,0,3.23282,716.029,6.57512,0.0656966,0.19984
27,RL,0,BSDF Heavy,-0.998926,Low,0,Low,0,3.26392,723.228,6.58511,0.0659387,0.19984
28,RL,0,BSDF Heavy,-0.290489,Low,0,Low,0,3.27722,725.335,6.58801,0.0661077,0.19984
29,RL,0,BSDF Heavy,1,Low,0,Low,0,3.23739,716.488,6.57576,0.0657673,0.19984
30,RL,0,BSDF Heavy,-0.607967,Low,0,Low,0,3.25661,720.863,6.58184,0.0655752,0.19984
31,RL,0,BSDF Heavy,-0.191879,Low,0,Low,0,3.26236,722.25,6.58375,0.065961,0.19984
32,RL,0,Balanced,0.559139,Low,0,Low,0,3.25078,718.217,6.57816,0.0660194,0.19968
33,RL,0,Balanced,-0.0901699,Low,0,Low,0,3.24034,718.866,6.57906,0.0627841,0.19968
34,RL,0,Balanced,-0.0605106,Low,0,Low,0,3.24774,719.301,6.57967,0.0626858,0.19968
35,RL,0,Balanced,1,Low,0,Low,0,3.20669,710.838,6.56785,0.0626681,0.19968
36,RL,0,Balanced,-0.922441,Low,0,Low,0,3.23717,717.435,6.57708,0.0622762,0.19968
37,RL,0,Balanced,-1,Low,0,Low,0,3.29347,729.649,6.59393,0.0630162,0.19968
38,RL,0,Balanced,1,Low,0,Low,0,3.24718,719.389,6.57979,0.0626965,0.19968
39,RL,0,Balanced,-1,Low,0,Low,0,3.27779,727.235,6.59062,0.0630977,0.19968
40,RL,0,Balanced,0.909042,Low,0,Low,0,3.25446,720.645,6.58153,0.0623561,0.19968
41,RL,0,Balanced,-0.593328,Low,0,Low,0,3.26883,724.939,6.58747,0.0628356,0.19968
42,RL,0,Balanced,0.941467,Low,0,Low,0,3.23748,718.137,6.57805,0.0623915,0.19968
43,RL,0,Balanced,-0.74873,Low,0,Low,0,3.26017,723.541,6.58554,0.0629071,0.19968
44,RL,0,Balanced,1,Low,0,Low,0,3.22988,715.752,6.57473,0.0627434,0.19968
45,RL,0,Balanced,-1,Low,0,Low,0,3.29343,730.105,6.59456,0.0628302,0.19968
46,RL,0,Balanced,1,Low,0,Low,0,3.22984,715.336,6.57415,0.063017,0.19968
47,RL,0,Balanced,-1,Low,0,Low,0,3.26962,724.68,6.58711,0.0629832,0.19968
48,RL,0,Balanced,-0.137138,Low,0,Low,0,3.26857,725.675,6.58848,0.062778,0.199521
49,RL,0,Balanced,1,Low,0,Low,0,3.2387,717.734,6.57749,0.0625936,0.199521
50,RL,0,Balanced,0.0830173,Low,0,Low,0,3.23359,717.137,6.57666,0.0625936,0.199521
51,RL,0,Balanced,-0.183725,Low,0,Low,0,3.2433,718.458,6.5785,0.0627196,0.199521
52,RL,0,Balanced,0.593567,Low,0,Low,0,3.22486,714.2,6.57256,0.0627058,0.199521
53,RL,0,Balanced,-1,Low,0,Low,0,3.27136,725.54,6.58829,0.0630869,0.199521
54,RL,0,Balanced,0.516605,Low,0,Low,0,3.25418,721.796,6.58313,0.0628133,0.199521
55,RL,0,Balanced,-0.692606,Low,0,Low,0,3.27389,726.819,6.59005,0.0630277,0.199521
56,RL,0,Balanced,1,Low,0,Low,0,3.24367,719.266,6.57962,0.0625275,0.199521
57,RL,0,Balanced,0.940704,Low,0,Low,0,3.21587,712.522,6.57021,0.0626504,0.199521
58,RL,0,Balanced,-0.44589,Low,0,Low,0,3.23027,715.711,6.57467,0.0627265,0.199521
59,RL,0,Balanced,-0.43211,Low,0,Low,0,3.24512,718.815,6.57899,0.0627757,0.199521
60,RL,0,Balanced,0.211382,Low,0,Low,0,3.23404,717.295,6.57688,0.0625459,0.199521
61,RL,0,Balanced,-0.470638,Low,0,Low,0,3.24795,720.683,6.58159,0.0627611,0.199521
62,RL,0,Balanced,-0.449419,Low,0,Low,0,3.26955,723.934,6.58608,0.062904,0.199521
63,RL,0,Balanced,1,Low,0,Low,0,3.22791,715.168,6.57391,0.0627449,0.199521
64,RL,0,Balanced,-0.356293,Low,0,Low,0,3.23908,717.724,6.57748,0.0625521,0.199361
65,RL,0,Balanced,-0.465536,Low,0,Low,0,3.25313,721.078,6.58213,0.0626896,0.199361
66,RL,0,Balanced,0.470591,Low,0,Low,0,3.23956,717.688,6.57743,0.0627011,0.199361
67,RL,0,Balanced,-1,Low,0,Low,0,3.27434,725.339,6.58802,0.0625528,0.199361
68,RL,0,Balanced,1,Low,0,Low,0,3.22547,715.52,6.57441,0.0624137,0.199361
69,RL,0,Balanced,-0.837517,Low,0,Low,0,3.25302,721.546,6.58278,0.0629993,0.199361
70,RL,0,Balanced,0.760889,Low,0,Low,0,3.23203,716.069,6.57517,0.0628095,0.199361
71,RL,0,Balanced,-0.197792,Low,0,Low,0,3.23649,717.489,6.57715,0.0626696,0.199361
72,RL,0,Balanced,0.292063,Low,0,Low,0,3.22909,715.393,6.57423,0.0625459,0.199361
73,RL,0,Balanced,-1,Low,0,Low,0,3.26283,723.405,6.58535,0.0630308,0.199361
74,RL,0,Balanced,0.541639,Low,0,Low,0,3.24515,719.491,6.57993,0.0626727,0.199361
75,RL,0,Balanced,-0.563383,Low,0,Low,0,3.25803,723.562,6.58557,0.0624061,0.199361
76,RL,0,Balanced,-0.029707,Low,0,Low,0,3.26105,723.777,6.58586,0.0625997,0.199361
77,RL,0,Balanced,0.113535,Low,0,Low,0,3.26021,722.955,6.58473,0.0625375,0.199361
78,RL,0,Balanced,0.748301,Low,0,Low,0,3.23826,717.558,6.57725,0.0626274,0.199361
79,RL,0,Balanced,-0.0784874,Low,0,Low,0,3.23605,718.122,6.57803,0.0620764,0.199361
80,RL,0,Balanced,0.196838,Low,0,Low,0,3.23629,716.708,6.57606,0.0628133,0.199202
81,RL,0,Balanced,0.0887394,Low,0,Low,0,3.22991,716.071,6.57518,0.0627595,0.199202
82,RL,0,Balanced,-0.806665,Low,0,Low,0,3.25616,721.879,6.58324,0.0627811,0.199202
83,RL,0,Balanced,-0.437307,Low,0,Low,0,3.27143,725.047,6.58762,0.0630154,0.199202
84,RL,0,Balanced,1,Low,0,Low,0,3.24053,717.644,6.57737,0.0625167,0.199202
85,RL,0,Balanced,-0.171518,Low,0,Low,0,3.2429,718.878,6.57908,0.0626573,0.199202
86,RL,0,Balanced,-0.192785,Low,0,Low,0,3.24692,720.267,6.58101,0.062662,0.199202
87,RL,0,Balanced,1,Low,0,Low,0,3.21325,711.598,6.56892,0.0623315,0.199202
88,RL,0,Balanced,-0.678587,Low,0,Low,0,3.22949,716.45,6.5757,0.0625244,0.199202
89,RL,0,Balanced,-0.652361,Low,0,Low,0,3.25472,721.146,6.58223,0.0629209,0.199202
90,RL,0,Balanced,-0.710487,Low,0,Low,0,3.27615,726.295,6.58933,0.0628817,0.199202
91,RL,0,Balanced,1,Low,0,Low,0,3.24132,718.512,6.57857,0.0625344,0.199202
92,RL,0,Balanced,0.891018,Low,0,Low,0,3.21203,712.13,6.56966,0.0626343,0.199202
93,RL,0,Balanced,-0.963497,Low,0,Low,0,3.2449,719.034,6.5793,0.0629386,0.199202
94,RL,0,Balanced,0.437784,Low,0,Low,0,3.22874,715.889,6.57492,0.0623861,0.199202
95,RL,0,Balanced,-1,Low,0,Low,0,3.27085,724.953,6.58749,0.0626689,0.199202
96,RL,0,Balanced,1,Low,0,Low,0,3.23123,716.437,6.57569,0.0623984,0.199042
97,RL,0,Balanced,-0.104237,Low,0,Low,0,3.23933,717.185,6.57673,0.062768,0.199042
98,RL,0,Balanced,-0.477886,Low,0,Low,0,3.25526,720.625,6.58151,0.0626335,0.199042
99,RL,0,Balanced,0.601482,Low,0,Low,0,3.23282,716.298,6.57549,0.0623338,0.199042
100,RL,0,Balanced,0.165892,Low,0,Low,0,3.22883,715.109,6.57383,0.0623945,0.199042
101,RL,0,Balanced,-0.786066,Low,0,Low,0,3.25234,720.76,6.58169,0.0627157,0.199042
102,RL,0,Balanced,0.410032,Low,0,Low,0,3.2336,717.807,6.57759,0.0628141,0.199042
103,RL,0,Balanced,0.199223,Low,0,Low,0,3.23149,716.376,6.5756,0.0622531,0.199042
104,RL,0,Balanced,-0.440073,Low,0,Low,0,3.24562,719.54,6.58,0.0625498,0.199042
105,RL,0,Balanced,0.123358,Low,0,Low,0,3.24234,718.652,6.57877,0.0624921,0.199042
106,RL,0,Balanced,0.290394,Low,0,Low,0,3.23441,716.565,6.57586,0.0628618,0.199042
107,RL,0,Balanced,-0.85454,Low,0,Low,0,3.25829,722.723,6.58441,0.0626112,0.199042
108,RL,0,Balanced,-0.508213,Low,0,Low,0,3.27861,726.411,6.58949,0.0628318,0.199042
109,RL,0,Balanced,0.809479,Low,0,Low,0,3.25051,720.546,6.5814,0.062602,0.199042
110,RL,0,Balanced,0.374794,Low,0,Low,0,3.24431,717.847,6.57765,0.06303,0.199042
111,RL,0,Balanced,0.575924,Low,0,Low,0,3.22141,713.719,6.57189,0.0627857,0.199042
112,RL,0,Balanced,-0.926208,Low,0,Low,0,3.25036,720.37,6.58115,0.0625221,0.198883
113,RL,0,Balanced,-0.502968,Low,0,Low,0,3.2633,724.007,6.58618,0.0627234,0.198883
114,RL,0,Balanced,0.39258,Low,0,Low,0,3.24874,721.166,6.58226,0.0626612,0.198883
115,RL,0,Balanced,0.510311,Low,0,Low,0,3.23868,717.49,6.57715,0.0628057,0.198883
116,RL,0,Balanced,-0.883675,Low,0,Low,0,3.26227,723.868,6.58599,0.062645,0.198883
117,RL,0,Balanced,0.94142,Low,0,Low,0,3.2368,717.075,6.57657,0.0627872,0.198883
118,RL,0,Balanced,-0.683594,Low,0,Low,0,3.25786,722.001,6.58341,0.0626089,0.198883
119,RL,0,Balanced,1,Low,0,Low,0,3.21671,712.892,6.57073,0.0625536,0.198883
120,RL,0,Balanced,-1,Low,0,Low,0,3.25558,722.659,6.58432,0.0627227,0.198883
121,RL,0,Balanced,-0.401592,Low,0,Low,0,3.27563,725.571,6.58834,0.0631161,0.198883
122,RL,0,Balanced,0.971937,Low,0,Low,0,3.23742,718.544,6.57862,0.062267,0.198883
123,RL,0,Balanced,-0.832653,Low,0,Low,0,3.26661,724.56,6.58694,0.062967,0.198883
124,RL,0,Balanced,0.84939,Low,0,Low,0,3.23883,718.424,6.57845,0.0628118,0.198883
125,RL,0,Balanced,0.27771,Low,0,Low,0,3.23367,716.428,6.57567,0.0628226,0.198883
126,RL,0,Balanced,-0.265169,Low,0,Low,0,3.24111,718.333,6.57832,0.0625413,0.198883
127,RL,0,Balanced,-0.276041,Low,0,Low,0,3.24939,720.322,6.58109,0.0627434,0.198883
128,RL,0,Balanced,0.180674,Low,0,Low,0,3.23944,719.02,6.57928,0.0626158,0.198724
129,RL,0,Balanced,0.0579834,Low,0,Low,0,3.24094,718.602,6.5787,0.0624207,0.198724
130,RL,0,Balanced,-0.457191,Low,0,Low,0,3.24991,721.9,6.58327,0.0623131,0.198724
131,RL,0,Balanced,-0.323629,Low,0,Low,0,3.26292,724.243,6.58651,0.0627403,0.198724
132,RL,0,Balanced,0.132847,Low,0,Low,0,3.26142,723.28,6.58518,0.0629893,0.198724
133,RL,0,Balanced,0.162792,Low,0,Low,0,3.25602,722.102,6.58355,0.0627142,0.198724
134,RL,0,Balanced,0.00290871,Low,0,Low,0,3.25765,722.081,6.58352,0.0628817,0.198724
135,RL,0,Balanced,0.307608,Low,0,Low,0,3.24544,719.86,6.58045,0.0626819,0.198724
136,RL,0,Balanced,-0.0464439,Low,0,Low,0,3.24772,720.195,6.58091,0.0626858,0.198724
137,RL,0,Balanced,0.410128,Low,0,Low,0,3.23706,717.243,6.57681,0.0628226,0.198724
138,RL,0,Balanced,-0.323486,Low,0,Low,0,3.2477,719.57,6.58004,0.0630308,0.198724
139,RL,0,Balanced,0.0118732,Low,0,Low,0,3.24378,719.485,6.57992,0.0624583,0.198724
140,RL,0,Balanced,0.442076,Low,0,Low,0,3.23369,716.307,6.5755,0.0626758,0.198724
141,RL,0,Balanced,0.137091,Low,0,Low,0,3.22488,715.324,6.57413,0.0626896,0.198724
142,RL,0,Balanced,-0.722456,Low,0,Low,0,3.25181,720.518,6.58136,0.0629209,0.198724
143,RL,0,Balanced,0.562763,Low,0,Low,0,3.23613,716.469,6.57573,0.0625344,0.198724
144,RL,0,Balanced,-0.495911,Low,0,Low,0,3.24918,720.036,6.58069,0.0628425,0.198565
145,RL,0,Balanced,-0.321388,Low,0,Low,0,3.26185,722.357,6.5839,0.0630485,0.198565
146,RL,0,Balanced,0.286436,Low,0,Low,0,3.24764,720.288,6.58104,0.0626965,0.198565
147,RL,0,Balanced,0.416374,Low,0,Low,0,3.23472,717.291,6.57687,0.0625943,0.198565
148,RL,0,Balanced,-0.635672,Low,0,Low,0,3.25596,721.871,6.58323,0.0628725,0.198565
149,RL,0,Balanced,0.122833,Low,0,Low,0,3.25296,720.984,6.582,0.0626896,0.198565
150,RL,0,Balanced,-0.188828,Low,0,Low,0,3.25878,722.349,6.58389,0.0627065,0.198565
151,RL,0,Balanced,-0.199175,Low,0,Low,0,3.26918,723.791,6.58588,0.0631876,0.198565
152,RL,0,Balanced,-0.291681,Low,0,Low,0,3.27378,725.908,6.5888,0.0627403,0.198565
153,RL,0,Balanced,1,Low,0,Low,0,3.2335,716.642,6.57597,0.0624837,0.198565
154,RL,0,Balanced,-0.782537,Low,0,Low,0,3.25666,722.28,6.5838,0.0624176,0.198565
155,RL,0,Balanced,-0.155401,Low,0,Low,0,3.26501,723.405,6.58535,0.0630454,0.198565
156,RL,0,Balanced,-0.491953,Low,0,Low,0,3.27855,726.977,6.59027,0.0625482,0.198565
157,RL,0,Balanced,1,Low,0,Low,0,3.23841,717.615,6.57733,0.0626965,0.198565
158,RL,0,Balanced,-1,Low,0,Low,0,3.27379,726.17,6.58916,0.0627588,0.198565
159,RL,0,Balanced,0.456095,Low,0,Low,0,3.26046,722.861,6.5846,0.062602,0.198565
160,RL,0,Balanced,0.436831,Low,0,Low,0,3.24719,719.705,6.58023,0.0623361,0.198406
161,RL,0,Balanced,0.595999,Low,0,Low,0,3.22703,715.423,6.57427,0.0625882,0.198406
162,RL,0,Balanced,-0.287962,Low,0,Low,0,3.23208,717.489,6.57715,0.0622224,0.198406
163,RL,0,Balanced,-0.2913,Low,0,Low,0,3.2474,719.585,6.58006,0.0627549,0.198406
164,RL,0,Balanced,-0.288391,Low,0,Low,0,3.25518,721.666,6.58295,0.0629862,0.198406
165,RL,0,Balanced,0.457954,Low,0,Low,0,3.23781,718.364,6.57837,0.062496,0.198406
166,RL,0,Balanced,-0.87738,Low,0,Low,0,3.2666,724.704,6.58714,0.0628449,0.198406
167,RL,0,Balanced,1,Low,0,Low,0,3.22367,715.799,6.5748,0.0621932,0.198406
168,RL,0,Balanced,-1,Low,0,Low,0,3.27843,727.125,6.59047,0.062818,0.198406
169,RL,0,Balanced,0.718021,Low,0,Low,0,3.25644,721.915,6.58329,0.0626796,0.198406
170,RL,0,Balanced,0.338221,Low,0,Low,0,3.24472,719.474,6.57991,0.0625859,0.198406
171,RL,0,Balanced,0.0479698,Low,0,Low,0,3.24119,719.129,6.57943,0.0626158,0.198406
172,RL,0,Balanced,-0.845337,Low,0,Low,0,3.27507,725.242,6.58788,0.0628295,0.198406
173,RL,0,Balanced,0.558615,Low,0,Low,0,3.25076,721.197,6.5823,0.0625751,0.198406
174,RL,0,Balanced,-0.417233,Low,0,Low,0,3.26481,724.216,6.58647,0.0625152,0.198406
175,RL,0,Balanced,0.0672817,Low,0,Low,0,3.26313,723.728,6.5858,0.0626059,0.198406
176,RL,0,Balanced,1,Low,0,Low,0,3.22774,716.03,6.57512,0.0625621,0.198248
177,RL,0,Balanced,-0.759649,Low,0,Low,0,3.25358,721.498,6.58271,0.0624168,0.198248
178,RL,0,Balanced,0.604486,Low,0,Low,0,3.23668,717.143,6.57667,0.0625874,0.198248
179,RL,0,Balanced,0.109148,Low,0,Low,0,3.23436,716.36,6.57558,0.0628802,0.198248
180,RL,0,Balanced,-0.583363,Low,0,Low,0,3.24975,720.557,6.58141,0.062964,0.198248
181,RL,0,Balanced,0.134563,Low,0,Low,0,3.24631,719.587,6.58007,0.0627303,0.198248
182,RL,0,Balanced,0.130701,Low,0,Low,0,3.24264,718.646,6.57876,0.0628156,0.198248
183,RL,0,Balanced,-0.998068,Low,0,Low,0,3.27181,725.864,6.58874,0.062748,0.198248
184,RL,0,Balanced,-0.0132561,Low,0,Low,0,3.27555,725.96,6.58887,0.0626066,0.198248
185,RL,0,Balanced,0.774527,Low,0,Low,0,3.24964,720.351,6.58113,0.0623269,0.198248
186,RL,0,Balanced,-0.275278,Low,0,Low,0,3.2507,722.34,6.58388,0.0627319,0.198248
187,RL,0,Balanced,1,Low,0,Low,0,3.21991,714.351,6.57277,0.0627442,0.198248
188,RL,0,Balanced,-0.460434,Low,0,Low,0,3.23462,717.653,6.57738,0.0623507,0.198248
189,RL,0,Balanced,-0.170612,Low,0,Low,0,3.24496,718.879,6.57908,0.062466,0.198248
190,RL,0,Balanced,-0.0709057,Low,0,Low,0,3.24663,719.39,6.57979,0.0629417,0.198248
191,RL,0,Balanced,0.362158,Low,0,Low,0,3.23506,716.786,6.57617,0.0629601,0.198248
192,RL,0,Balanced,-0.286674,Low,0,Low,0,3.24729,718.847,6.57904,0.0627611,0.198089
193,RL,0,Balanced,0.133324,Low,0,Low,0,3.24052,717.888,6.5777,0.0628095,0.198089
194,RL,0,Balanced,-0.416136,Low,0,Low,0,3.25251,720.885,6.58187,0.0627296,0.198089
195,RL,0,Balanced,-0.673151,Low,0,Low,0,3.26653,725.761,6.5886,0.0626328,0.198089
