Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,Balanced,0,Low,0,Low,0,21.0256,3552.14,8.17559,0.582303,0.049995
2,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0138,3585.94,8.18506,0.481007,0.04999
3,RL,0,Balanced,-1,Low,0,Low,0,21.0147,3552.82,8.17578,0.581748,0.049985
4,RL,0,Light Heavy,-1,Low,0,Low,0,21.0473,3540.5,8.1723,0.654969,0.04998
5,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0398,3590.06,8.1862,0.481492,0.049975
6,RL,0,Balanced,-1,Low,0,Low,0,21.0898,3566.38,8.17959,0.582157,0.04997
7,RL,0,Light Heavy,-1,Low,0,Low,0,21.0132,3531.73,8.16983,0.655087,0.049965
8,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0572,3599.18,8.18874,0.481112,0.04996
9,RL,0,Balanced,-1,Low,0,Low,0,21.0681,3562.45,8.17849,0.582084,0.049955
10,RL,0,Light Heavy,-1,Low,0,Low,0,21.0104,3532.55,8.17006,0.654577,0.04995
11,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0784,3598.93,8.18867,0.48124,0.049945
12,RL,0,Balanced,-1,Low,0,Low,0,21.0011,3549.83,8.17494,0.581238,0.04994
13,RL,0,Light Heavy,-1,Low,0,Low,0,20.9986,3531.49,8.16976,0.654545,0.049935
14,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0536,3592.54,8.18689,0.481513,0.04993
15,RL,0,Balanced,-1,Low,0,Low,0,21.0174,3552.29,8.17563,0.581707,0.0499251
16,RL,0,Light Heavy,-1,Low,0,Low,0,21.0245,3533.31,8.17027,0.654735,0.0499201
17,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0169,3585.78,8.18501,0.480886,0.0499151
18,RL,0,Balanced,-1,Low,0,Low,0,20.9832,3546.18,8.17391,0.581805,0.0499101
19,RL,0,Light Heavy,-1,Low,0,Low,0,20.9905,3528.05,8.16879,0.654651,0.0499051
20,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.1062,3606.58,8.19079,0.481286,0.0499001
21,RL,0,Balanced,-1,Low,0,Low,0,21.0232,3550.36,8.17509,0.582181,0.0498951
22,RL,0,Light Heavy,-1,Low,0,Low,0,21.0516,3538.67,8.17179,0.655297,0.0498901
23,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0069,3588.57,8.18579,0.481242,0.0498851
24,RL,0,Balanced,-1,Low,0,Low,0,20.9968,3545.46,8.17371,0.582162,0.0498801
25,RL,0,Light Heavy,-1,Low,0,Low,0,20.9808,3527.08,8.16851,0.655234,0.0498752
26,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0355,3594.21,8.18736,0.480846,0.0498702
27,RL,0,Balanced,-1,Low,0,Low,0,21.0647,3561.57,8.17824,0.582197,0.0498652
28,RL,0,Light Heavy,-1,Low,0,Low,0,21.0331,3535.15,8.1708,0.65502,0.0498602
29,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0225,3591.46,8.18659,0.480684,0.0498552
30,RL,0,Balanced,-1,Low,0,Low,0,21.023,3555.3,8.17648,0.581301,0.0498502
31,RL,0,Light Heavy,-1,Low,0,Low,0,21.034,3536.73,8.17124,0.655049,0.0498452
32,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.0238,3589.93,8.18617,0.481311,0.0498403
33,RL,0,Balanced,-1,Low,0,Low,0,21.0358,3553.94,8.1761,0.582261,0.0498353
34,RL,0,Light Heavy,-1,Low,0,Low,0,21.0451,3540.6,8.17233,0.65491,0.0498303
35,RL,0,BSDF Heavy,-1,Low,0,Low,0,21.065,3601.45,8.18937,0.481091,0.0498253
36,RL,0,Balanced,-1,Low,0,Low,0,21.0092,3550.11,8.17502,0.581991,0.0498203
