Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,77,BSDF Heavy,0,High,2,High,2,High,2,Medium,1,3.25957,721.745,6.58306,0.0627142,0.1
2,RL,120,BSDF Heavy,0.658321,High,2,Low,0,High,2,Medium,1,3.24389,717.002,6.57647,0.0658703,0.1
3,RL,121,BSDF Heavy,-0.320768,High,2,Medium,1,High,2,Medium,1,3.24433,719.309,6.57968,0.0656812,0.1
4,RL,122,BSDF Heavy,-0.534868,High,2,High,2,High,2,Medium,1,3.26656,723.172,6.58503,0.0657635,0.1
5,RL,122,BSDF Heavy,0.168467,High,2,High,2,High,2,Medium,1,3.25878,721.953,6.58334,0.0660148,0.1
6,RL,120,BSDF Heavy,0.548315,High,2,Low,0,High,2,Medium,1,3.24109,718,6.57786,0.0656543,0.1
7,RL,120,BSDF Heavy,0.0067234,High,2,Low,0,High,2,Medium,1,3.24298,717.952,6.57779,0.0656029,0.1
8,RL,122,BSDF Heavy,-1.63679,High,2,High,2,High,2,Medium,1,3.28997,729.816,6.59416,0.0658311,0.1
9,RL,105,BSDF Heavy,2.25167,High,2,Low,0,High,2,Medium,1,3.2248,713.545,6.57165,0.065609,0.1
10,RL,122,BSDF Heavy,-1.49131,High,2,High,2,High,2,Medium,1,3.26726,724.28,6.58656,0.0660732,0.1
11,RL,122,BSDF Heavy,0.106382,High,2,High,2,High,2,Medium,1,3.26736,723.509,6.58549,0.0661631,0.1
12,RL,122,BSDF Heavy,0.456762,High,2,High,2,High,2,Medium,1,3.25584,720.208,6.58093,0.0661684,0.1
13,RL,121,BSDF Heavy,0.0763416,High,2,Medium,1,High,2,Medium,1,3.24972,719.657,6.58016,0.0657781,0.1
14,RL,122,BSDF Heavy,-0.497341,High,2,High,2,High,2,Medium,1,3.26084,723.25,6.58514,0.0657189,0.1
15,RL,122,BSDF Heavy,0.140762,High,2,High,2,High,2,Medium,1,3.25877,722.231,6.58373,0.0657297,0.1
16,RL,122,BSDF Heavy,-0.655508,High,2,High,2,High,2,High,2,3.27568,726.988,6.59028,0.0654123,0.19984
17,RL,105,BSDF Heavy,1.47457,High,2,Low,0,High,2,High,2,3.23871,716.332,6.57554,0.0662215,0.19984
18,RL,122,BSDF Heavy,-1.74308,High,2,High,2,High,2,High,2,3.28916,728.945,6.59297,0.0659356,0.19984
19,RL,122,BSDF Heavy,1.12429,High,2,High,2,High,2,High,2,3.25587,720.784,6.58173,0.0658857,0.19984
20,RL,122,BSDF Heavy,-0.0619888,High,2,High,2,High,2,High,2,3.25476,721.232,6.58235,0.0656728,0.19984
21,RL,122,BSDF Heavy,-0.76046,High,2,High,2,High,2,High,2,3.28006,726.745,6.58995,0.0658741,0.19984
22,RL,121,BSDF Heavy,1.04141,High,2,Medium,1,High,2,High,2,3.24897,719.206,6.57954,0.0656659,0.19984
23,RL,121,BSDF Heavy,0.00152588,High,2,Medium,1,High,2,High,2,3.24378,719.195,6.57952,0.0654776,0.19984
24,RL,105,BSDF Heavy,0.561047,High,2,Low,0,High,2,High,2,3.22751,715.165,6.57391,0.0658326,0.19984
