Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25957,721.745,6.58306,0.0627142,0.1
2,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24261,718.196,6.57813,0.0627718,0.1
3,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24153,719.642,6.58014,0.0628003,0.1
4,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26149,723.562,6.58557,0.0625328,0.1
5,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26993,724.198,6.58645,0.0628664,0.1
6,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25685,721.444,6.58264,0.0624207,0.1
7,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22907,715.757,6.57474,0.0627665,0.1
8,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27831,727.939,6.59159,0.0626573,0.1
9,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24031,718.186,6.57812,0.0628018,0.1
10,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26458,723.934,6.58608,0.0627749,0.1
11,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27776,726.143,6.58912,0.0630623,0.1
12,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24706,719.286,6.57965,0.0631761,0.1
13,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.2636,723.402,6.58535,0.0626089,0.1
14,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25384,721.781,6.58311,0.0627165,0.1
15,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25799,723.392,6.58533,0.0624721,0.1
16,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.24972,721.908,6.58328,0.0622908,0.1
17,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23311,716.876,6.5763,0.0626804,0.1
18,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.24539,720.359,6.58114,0.0626397,0.1
19,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23611,717.715,6.57746,0.0627296,0.1
20,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26523,724.494,6.58685,0.0625559,0.1
21,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.246,719.679,6.58019,0.0628817,0.1
22,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24645,719.703,6.58023,0.0626012,0.1
23,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23781,718.081,6.57797,0.0624353,0.1
24,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24387,719.417,6.57983,0.0626474,0.1
25,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.24665,719.938,6.58055,0.0627088,0.1
26,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.21687,713.453,6.57152,0.0623315,0.1
27,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23979,717.849,6.57765,0.0627257,0.1
28,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26986,724.895,6.5874,0.0630984,0.1
29,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24793,718.747,6.5789,0.0629255,0.1
30,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24487,719.112,6.57941,0.0625098,0.1
31,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24942,719.669,6.58018,0.0626812,0.1
32,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23387,715.668,6.57461,0.0627611,0.1
33,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24034,718.866,6.57906,0.0627841,0.1
34,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24774,719.301,6.57967,0.0626858,0.1
35,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.20669,710.838,6.56785,0.0626681,0.1
36,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23717,717.435,6.57708,0.0622762,0.1
37,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.29347,729.649,6.59393,0.0630162,0.1
38,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24718,719.389,6.57979,0.0626965,0.1
39,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27779,727.235,6.59062,0.0630977,0.1
40,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25446,720.645,6.58153,0.0623561,0.1
41,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26883,724.939,6.58747,0.0628356,0.1
42,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23748,718.137,6.57805,0.0623915,0.1
43,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26017,723.541,6.58554,0.0629071,0.1
44,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22988,715.752,6.57473,0.0627434,0.1
45,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.29343,730.105,6.59456,0.0628302,0.1
46,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22984,715.336,6.57415,0.063017,0.1
47,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26962,724.68,6.58711,0.0629832,0.1
48,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26857,725.675,6.58848,0.062778,0.1
49,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.2387,717.734,6.57749,0.0625936,0.1
50,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23359,717.137,6.57666,0.0625936,0.1
51,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.2433,718.458,6.5785,0.0627196,0.1
52,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22486,714.2,6.57256,0.0627058,0.1
53,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27136,725.54,6.58829,0.0630869,0.1
54,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25418,721.796,6.58313,0.0628133,0.1
55,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27389,726.819,6.59005,0.0630277,0.1
56,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24367,719.266,6.57962,0.0625275,0.1
57,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.21587,712.522,6.57021,0.0626504,0.1
58,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23027,715.711,6.57467,0.0627265,0.1
59,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24512,718.815,6.57899,0.0627757,0.1
60,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23404,717.295,6.57688,0.0625459,0.1
61,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.24795,720.683,6.58159,0.0627611,0.1
62,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26955,723.934,6.58608,0.062904,0.1
63,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22791,715.168,6.57391,0.0627449,0.1
64,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23908,717.724,6.57748,0.0625521,0.1
65,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25313,721.078,6.58213,0.0626896,0.1
66,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23956,717.688,6.57743,0.0627011,0.1
67,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27434,725.339,6.58802,0.0625528,0.1
68,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22547,715.52,6.57441,0.0624137,0.1
69,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25302,721.546,6.58278,0.0629993,0.1
70,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23203,716.069,6.57517,0.0628095,0.1
71,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23649,717.489,6.57715,0.0626696,0.1
72,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22909,715.393,6.57423,0.0625459,0.1
73,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26283,723.405,6.58535,0.0630308,0.1
74,Baseline,76,Balanced,0,Low,0,Medium,1,Low,0,Low,0,3.24515,719.491,6.57993,0.0626727,0.1
75,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25803,723.562,6.58557,0.0624061,0.1
76,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26105,723.777,6.58586,0.0625997,0.1
77,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.26021,722.955,6.58473,0.0625375,0.1
78,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23826,717.558,6.57725,0.0626274,0.1
79,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23605,718.122,6.57803,0.0620764,0.1
80,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.23629,716.708,6.57606,0.0628133,0.1
81,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22991,716.071,6.57518,0.0627595,0.1
82,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25616,721.879,6.58324,0.0627811,0.1
83,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27143,725.047,6.58762,0.0630154,0.1
84,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.24053,717.644,6.57737,0.0625167,0.1
85,Baseline,75,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.2429,718.878,6.57908,0.0626573,0.1
86,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.24692,720.267,6.58101,0.062662,0.1
87,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.21325,711.598,6.56892,0.0623315,0.1
88,Baseline,60,Balanced,0,Low,0,Low,0,Low,0,Low,0,3.22949,716.45,6.5757,0.0625244,0.1
89,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.25472,721.146,6.58223,0.0629209,0.1
90,Baseline,77,Balanced,0,Low,0,High,2,Low,0,Low,0,3.27615,726.295,6.58933,0.0628817,0.1
