Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.280885,1.17754,0.778194,0.0657642,0.1
2,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.280399,0.886923,0.634948,0.0835703,0.1
3,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.280542,0.792009,0.583337,0.0875033,0.1
4,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.280568,0.741649,0.554832,0.0755352,0.1
5,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.280528,0.711969,0.537644,0.0585407,0.1
6,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.28054,0.692982,0.526492,0.0512541,0.1
7,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.280559,0.678881,0.518127,0.0471966,0.1
8,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280575,0.668692,0.51204,0.0449366,0.19992
9,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280591,0.660575,0.507164,0.0424291,0.19992
10,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280578,0.65403,0.503215,0.0399185,0.19992
11,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280457,0.648548,0.499895,0.0382771,0.19992
12,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280518,0.644176,0.49724,0.0370499,0.19992
13,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280494,0.640536,0.495023,0.036107,0.19992
14,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280475,0.637574,0.493216,0.0351402,0.19992
15,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280422,0.634866,0.491561,0.0343326,0.19992
16,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280395,0.632217,0.489939,0.0338277,0.19984
17,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280427,0.630217,0.488713,0.0333067,0.19984
18,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280365,0.628247,0.487504,0.0328679,0.19984
19,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280382,0.626553,0.486463,0.0324476,0.19984
20,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280464,0.625156,0.485604,0.0320941,0.19984
21,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.28045,0.623795,0.484766,0.0318482,0.19984
22,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280422,0.622445,0.483934,0.0315769,0.19984
23,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280435,0.6215,0.483352,0.0313471,0.19984
24,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280458,0.620581,0.482785,0.0310935,0.19976
25,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280436,0.619544,0.482145,0.0309099,0.19976
26,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280459,0.618717,0.481634,0.0307877,0.19976
27,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280463,0.617913,0.481137,0.0306593,0.19976
28,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280449,0.617101,0.480635,0.0304934,0.19976
29,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280457,0.6164,0.480202,0.0303235,0.19976
30,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280451,0.615696,0.479766,0.0302036,0.19976
31,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280399,0.614937,0.479296,0.030093,0.19976
32,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280404,0.614317,0.478912,0.0300046,0.19968
33,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280376,0.613715,0.478539,0.0298986,0.19968
34,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280354,0.613216,0.47823,0.0298087,0.19968
35,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280344,0.612701,0.477911,0.0297364,0.19968
36,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280366,0.61224,0.477625,0.0296803,0.19968
37,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280355,0.611871,0.477396,0.0296012,0.19968
38,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280367,0.611555,0.4772,0.0294997,0.19968
39,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280357,0.611142,0.476943,0.0294559,0.19968
40,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280329,0.610737,0.476692,0.0294075,0.1996
41,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.28031,0.61038,0.47647,0.0293553,0.1996
42,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280339,0.610124,0.476311,0.0292907,0.1996
43,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280341,0.609829,0.476128,0.0292185,0.1996
44,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280331,0.609486,0.475915,0.0292108,0.1996
45,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280324,0.609206,0.475741,0.0291639,0.1996
46,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280326,0.609014,0.475622,0.0291094,0.1996
47,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280332,0.608851,0.47552,0.0290517,0.1996
48,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280323,0.608578,0.47535,0.0290102,0.199521
49,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280307,0.60829,0.475172,0.028958,0.199521
50,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280308,0.608061,0.475029,0.0289487,0.199521
51,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280293,0.607774,0.474851,0.0289272,0.199521
52,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280288,0.607545,0.474708,0.0289042,0.199521
53,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280261,0.607298,0.474554,0.0288765,0.199521
54,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280274,0.607091,0.474425,0.0288358,0.199521
55,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280281,0.606884,0.474297,0.0288266,0.199521
56,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280289,0.606718,0.474194,0.0288227,0.199441
57,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280309,0.606507,0.474062,0.0288058,0.199441
58,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280314,0.606347,0.473963,0.0287751,0.199441
59,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280289,0.606144,0.473836,0.0287559,0.199441
60,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.28029,0.605957,0.47372,0.0287305,0.199441
61,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280271,0.605824,0.473637,0.0287174,0.199441
62,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280262,0.605641,0.473523,0.0286875,0.199441
63,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280258,0.605519,0.473447,0.0286744,0.199441
64,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280258,0.60538,0.47336,0.0286198,0.199361
65,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280257,0.605241,0.473274,0.0286029,0.199361
66,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280243,0.605101,0.473187,0.0286091,0.199361
67,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280245,0.60496,0.473099,0.0286099,0.199361
68,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280238,0.60482,0.473012,0.028576,0.199361
69,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280242,0.604698,0.472936,0.0285507,0.199361
70,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280254,0.604595,0.472871,0.0285307,0.199361
71,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280255,0.604485,0.472803,0.0285269,0.199361
72,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280262,0.604357,0.472723,0.0284992,0.199281
73,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280264,0.604228,0.472643,0.0284915,0.199281
74,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280278,0.604098,0.472562,0.0284938,0.199281
75,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280299,0.604002,0.472502,0.0284807,0.199281
76,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.603879,0.472425,0.0284692,0.199281
77,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280314,0.603772,0.472358,0.0284385,0.199281
78,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.603685,0.472304,0.0284162,0.199281
79,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.603626,0.472267,0.0283978,0.199281
80,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.603541,0.472215,0.0283801,0.199202
81,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280301,0.603431,0.472146,0.0283632,0.199202
82,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280314,0.603384,0.472116,0.0283547,0.199202
83,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280319,0.603316,0.472074,0.0283516,0.199202
84,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280317,0.603241,0.472027,0.0283002,0.199202
85,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280314,0.603164,0.471979,0.0282979,0.199202
86,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280323,0.603082,0.471928,0.0282932,0.199202
87,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280324,0.602994,0.471873,0.0282917,0.199202
88,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.28032,0.602933,0.471835,0.0282694,0.199122
89,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280335,0.60288,0.471802,0.0282579,0.199122
90,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280327,0.602791,0.471747,0.0282487,0.199122
91,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280331,0.602734,0.471711,0.0282225,0.199122
92,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280321,0.602642,0.471654,0.0282172,0.199122
93,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280324,0.602568,0.471607,0.0281964,0.199122
94,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280316,0.602486,0.471556,0.0282018,0.199122
95,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.2803,0.602423,0.471517,0.028181,0.199122
96,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280285,0.602342,0.471466,0.028168,0.199042
97,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280278,0.602283,0.471429,0.0281603,0.199042
98,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.280276,0.602235,0.471399,0.0281334,0.199042
