Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
50,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28035,0.608017,0.475002,0.028938,0.1
51,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280335,0.607726,0.474821,0.0289188,0.1
52,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280333,0.607498,0.474679,0.028908,0.1
53,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280318,0.607242,0.47452,0.0288535,0.1
54,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280325,0.607031,0.474388,0.0288173,0.1
55,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280333,0.606821,0.474258,0.0288143,0.1
56,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280343,0.60666,0.474157,0.0287966,0.1
57,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280357,0.606454,0.47403,0.0287712,0.1
58,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280354,0.606305,0.473937,0.0287405,0.1
59,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280335,0.606102,0.47381,0.028729,0.1
60,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28033,0.605911,0.473691,0.0286767,0.1
61,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28032,0.605777,0.473608,0.0286567,0.1
62,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280297,0.605591,0.473492,0.0286337,0.1
63,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280287,0.605466,0.473414,0.0286229,0.1
64,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280284,0.605319,0.473323,0.0286091,0.1
65,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280273,0.605175,0.473233,0.0285584,0.1
66,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280256,0.605039,0.473148,0.0285307,0.1
67,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280269,0.604901,0.473062,0.0285353,0.1
68,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280271,0.604758,0.472973,0.0285307,0.1
69,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280273,0.604639,0.472899,0.0284838,0.1
70,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280282,0.604537,0.472835,0.0284708,0.1
71,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280284,0.604433,0.47277,0.0284623,0.1
72,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280287,0.604302,0.472689,0.0284492,0.1
73,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280275,0.604171,0.472607,0.02843,0.1
74,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280291,0.604048,0.47253,0.0284431,0.1
75,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280297,0.603949,0.472469,0.0283916,0.1
76,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.603827,0.472393,0.0283801,0.1
77,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280304,0.603721,0.472327,0.0283693,0.1
78,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.2803,0.60364,0.472276,0.0283693,0.1
79,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280296,0.603575,0.472236,0.0283555,0.1
80,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280301,0.603484,0.472178,0.0283601,0.1
81,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280302,0.603378,0.472112,0.0283547,0.1
82,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280312,0.60333,0.472083,0.0283294,0.1
83,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28032,0.603261,0.47204,0.0283109,0.1
84,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280325,0.603183,0.471991,0.0282863,0.1
85,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280319,0.603106,0.471943,0.0282687,0.1
86,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280334,0.603025,0.471892,0.0282863,0.1
87,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280333,0.602939,0.471839,0.0282579,0.1
88,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280326,0.602877,0.4718,0.0282187,0.1
89,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280336,0.602824,0.471767,0.0282225,0.1
90,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280337,0.602738,0.471714,0.0282141,0.1
91,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280342,0.602685,0.47168,0.0282018,0.1
92,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280343,0.602595,0.471624,0.0281818,0.1
93,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280343,0.602516,0.471575,0.0281557,0.1
94,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280335,0.602434,0.471524,0.0281649,0.1
95,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280323,0.602369,0.471483,0.0281365,0.1
96,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280321,0.602297,0.471438,0.0281226,0.1
97,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280314,0.602243,0.471404,0.0281019,0.1
98,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280312,0.602189,0.471371,0.0280719,0.1
99,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.602113,0.471323,0.0280665,0.1
100,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.602038,0.471277,0.0280696,0.1
101,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280306,0.601988,0.471245,0.0280727,0.1
102,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280304,0.601933,0.471211,0.0280804,0.1
103,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.601892,0.471185,0.0280581,0.1
104,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.601842,0.471154,0.0280519,0.1
105,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280307,0.601781,0.471116,0.0280596,0.1
106,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280307,0.601698,0.471064,0.0280381,0.1
107,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.601636,0.471026,0.0279997,0.1
108,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280308,0.601615,0.471012,0.0280189,0.1
109,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280311,0.601551,0.470972,0.0280181,0.1
110,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280299,0.601478,0.470927,0.0279843,0.1
111,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.601418,0.47089,0.027969,0.1
112,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280308,0.601394,0.470875,0.0279674,0.1
113,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280307,0.601336,0.470838,0.027959,0.1
114,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280299,0.601267,0.470795,0.0279851,0.1
