Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.25957,721.745,6.58306,0.0627142,0.1
2,RL,60,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.22644,712.386,6.57002,0.0633628,0.1
3,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.26081,721.995,6.5834,0.0635626,0.1
4,RL,78,BSDF Heavy,0,High,4,Medium-High,3,High,2,Medium,1,3.2528,720.081,6.58075,0.0632506,0.1
5,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.26832,722.791,6.5845,0.0639837,0.1
6,RL,60,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.23986,716.606,6.57592,0.0636348,0.1
7,RL,75,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.24298,718.259,6.57822,0.0634243,0.1
8,RL,79,Light Heavy,0,High,4,High,4,High,2,Medium,1,3.29001,729.084,6.59316,0.0635495,0.19992
9,RL,15,Light Heavy,0,High,4,Low,0,High,2,Medium,1,3.22532,715.312,6.57412,0.0576869,0.19992
10,RL,34,Light Heavy,0,High,4,High,4,High,2,Medium,1,3.26978,725.482,6.58821,0.057866,0.19992
11,RL,34,Light Heavy,0,High,4,High,4,High,2,Medium,1,3.2625,723.994,6.58616,0.0579305,0.19992
12,RL,15,Light Heavy,0,High,4,Low,0,High,2,Medium,1,3.22913,716.899,6.57633,0.0577753,0.19992
13,RL,34,Light Heavy,0,High,4,High,4,High,2,Medium,1,3.26439,724.867,6.58737,0.057846,0.19992
14,RL,34,Light Heavy,0,High,4,High,4,High,2,Medium,1,3.25713,723.691,6.58575,0.057836,0.19992
15,RL,34,Light Heavy,0,High,4,High,4,High,2,Medium,1,3.24633,721.9,6.58327,0.0575709,0.19992
16,RL,34,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.25759,724.084,6.58629,0.0575847,0.19984
17,RL,75,BSDF Heavy,0,High,4,Low,0,High,2,Low,0,3.24515,717.245,6.57681,0.0637901,0.19984
18,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.28091,726.605,6.58976,0.0637386,0.19984
19,RL,78,BSDF Heavy,0,High,4,Medium-High,3,High,2,Low,0,3.25494,720.219,6.58094,0.0633697,0.19984
20,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.26465,722.414,6.58398,0.0635296,0.19984
21,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.27544,725.254,6.5879,0.0636271,0.19984
22,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.25522,720.819,6.58177,0.0632736,0.19984
23,RL,60,BSDF Heavy,0,High,4,Low,0,High,2,Low,0,3.23003,715.393,6.57423,0.0636387,0.19984
24,RL,60,Balanced,0,Low,0,Low,0,Medium,1,Medium,1,3.23889,717.606,6.57731,0.0635242,0.19976
25,RL,78,Balanced,0,Low,0,Medium-High,3,Medium,1,Medium,1,3.24665,719.938,6.58055,0.0627088,0.19976
26,RL,60,Balanced,0,Low,0,Low,0,Medium,1,Medium,1,3.21687,713.453,6.57152,0.0623315,0.19976
27,RL,60,Balanced,0,Low,0,Low,0,Medium,1,Medium,1,3.23979,717.849,6.57765,0.0627257,0.19976
28,RL,79,Balanced,0,Low,0,High,4,Medium,1,Medium,1,3.26986,724.895,6.5874,0.0630984,0.19976
29,RL,75,Balanced,0,Low,0,Low,0,Medium,1,Medium,1,3.24793,718.747,6.5789,0.0629255,0.19976
30,RL,76,Balanced,0,Low,0,Low-Medium,1,Medium,1,Medium,1,3.24487,719.112,6.57941,0.0625098,0.19976
31,RL,77,Balanced,0,Low,0,Medium,2,Medium,1,Medium,1,3.24942,719.669,6.58018,0.0626812,0.19976
32,RL,60,BSDF Heavy,0,Low,0,Low,0,Medium,1,Medium,1,3.23387,715.668,6.57461,0.0627611,0.19968
33,RL,79,BSDF Heavy,0,Low,0,High,4,Medium,1,Medium,1,3.26004,721.955,6.58335,0.0636079,0.19968
34,RL,75,BSDF Heavy,0,Low,0,Low,0,Medium,1,Medium,1,3.25095,718.711,6.57885,0.0634343,0.19968
35,RL,75,BSDF Heavy,0,Low,0,Low,0,Medium,1,Medium,1,3.24794,718.552,6.57863,0.0634765,0.19968
36,RL,77,BSDF Heavy,0,Low,0,Medium,2,Medium,1,Medium,1,3.25382,719.561,6.58003,0.063651,0.19968
37,RL,79,BSDF Heavy,0,Low,0,High,4,Medium,1,Medium,1,3.28153,726.306,6.58935,0.0638431,0.19968
38,RL,60,BSDF Heavy,0,Low,0,Low,0,Medium,1,Medium,1,3.23449,715.501,6.57438,0.0635687,0.19968
39,RL,75,BSDF Heavy,0,Low,0,Low,0,Medium,1,Medium,1,3.24394,718.942,6.57917,0.0631384,0.19968
40,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.2622,721.897,6.58327,0.0634327,0.1996
41,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.28158,726.557,6.58969,0.0638008,0.1996
42,RL,60,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.2322,714.952,6.57361,0.063714,0.1996
43,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.28179,726.163,6.58915,0.0638984,0.1996
44,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.25738,720.658,6.58155,0.0636686,0.1996
45,RL,124,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.29179,728.911,6.59292,0.0640875,0.1996
46,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.26509,721.43,6.58262,0.0639922,0.1996
47,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.26543,722.849,6.58458,0.0634358,0.1996
48,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.26457,722.834,6.58456,0.0635841,0.199521
49,RL,75,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.24985,718.368,6.57837,0.0639215,0.199521
