Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
56,RL,0,BSDF Heavy,0.00567627,Low,0,Low,0,3.2515,720.003,6.58064,0.0656759,0.0497208
57,RL,0,BSDF Heavy,0.00296259,Low,0,Low,0,3.24387,717.87,6.57768,0.0658057,0.0497158
58,RL,0,BSDF Heavy,-0.00644779,Low,0,Low,0,3.26314,722.52,6.58413,0.0661561,0.0497108
59,RL,0,BSDF Heavy,0.00391674,Low,0,Low,0,3.2507,719.692,6.58021,0.0657688,0.0497059
60,RL,0,BSDF Heavy,0.000844479,Low,0,Low,0,3.2448,719.084,6.57937,0.0657788,0.0497009
61,RL,0,BSDF Heavy,0.00404072,Low,0,Low,0,3.23606,716.18,6.57533,0.0660455,0.0496959
62,RL,0,BSDF Heavy,-0.0113907,Low,0,Low,0,3.27499,724.396,6.58672,0.0660401,0.049691
63,RL,0,BSDF Heavy,0.0173554,Low,0,Low,0,3.21604,711.915,6.56936,0.0656674,0.049686
64,RL,0,BSDF Heavy,-0.0061779,Low,0,Low,0,3.24001,716.333,6.57554,0.0658042,0.049681
65,RL,0,BSDF Heavy,-0.00429058,Low,0,Low,0,3.24783,719.417,6.57983,0.0661024,0.0496761
66,RL,0,BSDF Heavy,0.00323963,Low,0,Low,0,3.24197,717.087,6.57659,0.0658027,0.0496711
67,RL,0,BSDF Heavy,-0.0105639,Low,0,Low,0,3.27436,724.713,6.58715,0.065579,0.0496661
68,RL,0,BSDF Heavy,0.00802088,Low,0,Low,0,3.24447,718.915,6.57913,0.0658688,0.0496612
69,RL,0,BSDF Heavy,-0.00637531,Low,0,Low,0,3.26715,723.52,6.58551,0.0662883,0.0496562
70,RL,0,BSDF Heavy,0.00443459,Low,0,Low,0,3.2539,720.314,6.58107,0.0658564,0.0496512
71,RL,0,BSDF Heavy,0.000873089,Low,0,Low,0,3.25237,719.685,6.5802,0.066097,0.0496463
