Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,1,Balanced,0.693147,Medium,1,Low,0,8.66059,1982.53,7.59263,0.0942959,0.049995
1,RL,1,Light Heavy,0.693147,Medium,1,Low,0,8.66059,1982.53,7.59263,0.0942959,0.049995
2,RL,0,Light Heavy,0,Low,0,Low,0,3.95143,910.855,6.81548,0.0475386,0.04999
3,RL,0,BSDF Heavy,-1,Low,0,High,2,3.97536,918.054,6.82335,0.0472897,0.049985
4,RL,2,BSDF Heavy,0,High,2,High,2,14.8931,3410.9,8.13502,0.109587,0.04998
5,RL,2,BSDF Heavy,0,High,2,High,2,14.9753,3429.69,8.14052,0.110187,0.049975
6,RL,2,BSDF Heavy,0,High,2,High,2,15.0093,3439.45,8.14336,0.11006,0.04997
7,RL,2,BSDF Heavy,0,High,2,High,2,14.9394,3417.66,8.137,0.110091,0.049965
8,RL,2,BSDF Heavy,0,High,2,High,2,14.9332,3415.94,8.1365,0.110253,0.04996
9,RL,2,BSDF Heavy,0,High,2,High,2,14.8692,3399.89,8.13179,0.110147,0.049955
10,RL,2,BSDF Heavy,0,High,2,High,2,14.8758,3407.28,8.13396,0.110297,0.04995
11,RL,2,BSDF Heavy,0,High,2,High,2,14.8593,3401.24,8.13219,0.109848,0.049945
12,RL,2,BSDF Heavy,0,High,2,High,2,14.8806,3405.04,8.1333,0.11023,0.04994
13,RL,2,BSDF Heavy,0,High,2,High,2,14.865,3404.93,8.13327,0.10972,0.049935
14,RL,2,BSDF Heavy,0,High,2,High,2,14.927,3416.94,8.13679,0.110473,0.04993
15,RL,2,Balanced,0.405465,High,2,Medium,1,14.7801,3383.43,8.12694,0.109936,0.0499251
16,RL,1,BSDF Heavy,-0.405465,Medium,1,High,2,8.64173,1976.82,7.58975,0.0934915,0.0499201
17,RL,2,Light Heavy,1,High,2,Low,0,14.8633,3404.77,8.13323,0.109701,0.0499151
18,RL,0,BSDF Heavy,-1,Low,0,High,2,3.98758,920.29,6.82578,0.0474769,0.0499101
19,RL,2,Balanced,0.405465,High,2,Medium,1,14.8882,3406.53,8.13374,0.110278,0.0499051
20,RL,1,BSDF Heavy,-0.405465,Medium,1,High,2,8.64893,1978.64,7.59067,0.0940027,0.0499001
21,RL,2,Light Heavy,1,High,2,Low,0,14.8721,3405.36,8.1334,0.10999,0.0498951
22,RL,0,Balanced,-0.693147,Low,0,Medium,1,3.8909,897.964,6.80124,0.046821,0.0498901
23,RL,1,Light Heavy,0.693147,Medium,1,Low,0,8.69759,1990.74,7.59676,0.094049,0.0498851
24,RL,0,Light Heavy,0,Low,0,Low,0,3.91598,902.846,6.80666,0.0470621,0.0498801
25,RL,0,Light Heavy,0,Low,0,Low,0,3.97517,919.277,6.82467,0.0473052,0.0498752
26,RL,0,Light Heavy,0,Low,0,Low,0,3.93692,909.426,6.81391,0.0469637,0.0498702
27,RL,0,Light Heavy,0,Low,0,Low,0,3.86719,892.473,6.79512,0.0464969,0.0498652
28,RL,0,Light Heavy,0,Low,0,Low,0,3.98698,920.095,6.82556,0.0476235,0.0498602
29,RL,0,Light Heavy,0,Low,0,Low,0,3.90227,901.168,6.8048,0.0466705,0.0498552
30,RL,0,Light Heavy,0,Low,0,Low,0,3.91704,902.802,6.80661,0.0474016,0.0498502
31,RL,0,Light Heavy,0,Low,0,Low,0,3.97018,917.458,6.8227,0.0472222,0.0498452
32,RL,0,Light Heavy,0,Low,0,Low,0,3.91488,903.355,6.80722,0.0470139,0.0498403
33,RL,0,Light Heavy,0,Low,0,Low,0,3.9434,910.057,6.81461,0.0473862,0.0498353
34,RL,0,Light Heavy,0,Low,0,Low,0,3.97104,916.459,6.82161,0.0474942,0.0498303
35,RL,0,Light Heavy,0,Low,0,Low,0,3.92936,908.645,6.81305,0.0469657,0.0498253
36,RL,0,Light Heavy,0,Low,0,Low,0,3.97864,919.091,6.82447,0.0475752,0.0498203
37,RL,0,Light Heavy,0,Low,0,Low,0,3.96043,915.627,6.8207,0.0469907,0.0498153
38,RL,0,Light Heavy,0,Low,0,Low,0,3.91893,903.526,6.80741,0.047201,0.0498104
39,RL,0,Light Heavy,0,Low,0,Low,0,3.88978,896.579,6.7997,0.0470525,0.0498054
40,RL,0,Light Heavy,0,Low,0,Low,0,3.92085,905.508,6.8096,0.0467052,0.0498004
41,RL,0,Light Heavy,0,Low,0,Low,0,3.92801,905.573,6.80967,0.0472782,0.0497954
42,RL,0,Light Heavy,0,Low,0,Low,0,3.88888,896.557,6.79968,0.0470679,0.0497904
43,RL,0,Light Heavy,0,Low,0,Low,0,3.91366,902.341,6.8061,0.0473322,0.0497855
44,RL,0,Light Heavy,0,Low,0,Low,0,3.92876,906.939,6.81118,0.0470351,0.0497805
45,RL,0,Light Heavy,0,Low,0,Low,0,3.94308,909.272,6.81374,0.0475174,0.0497755
