Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,26.6168,2984.77,8.00161,0.441631,0.1
2,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.8465,1695.91,7.43657,0.348814,0.1
3,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.8244,1692.8,7.43473,0.348743,0.1
4,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.746,1681.54,7.42806,0.348175,0.1
5,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.8366,1693.38,7.43507,0.34878,0.1
6,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.8472,1695.29,7.4362,0.348834,0.1
7,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.8053,1691.3,7.43385,0.348488,0.1
8,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,14.7895,1689.09,7.43253,0.348361,0.19992
9,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.196,3581.15,8.18372,0.493716,0.19992
10,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.158,3578.78,8.18306,0.493515,0.19992
11,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.0854,3576.61,8.18245,0.49265,0.19992
12,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.2223,3583.46,8.18436,0.494047,0.19992
13,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.1906,3590.05,8.1862,0.493366,0.19992
14,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.2059,3585.82,8.18502,0.493379,0.19992
15,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,33.1949,3582.13,8.18399,0.493637,0.19992
16,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,33.2115,3583.59,8.1844,0.493865,0.19984
17,RL,124,BSDF Heavy,0,High,4,High,4,High,2,High,2,14.8094,1691.07,7.4337,0.348613,0.19984
