Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,1,BSDF Heavy,0,Low,0,Medium,1,21.0256,3552.14,8.17559,0.582303,0.049995
2,RL,1,Balanced,-0.00946903,Medium,1,Medium,1,21.0138,3585.94,8.18506,0.481007,0.04999
3,RL,1,Balanced,0.0092783,Medium,1,Medium,1,21.0147,3552.82,8.17578,0.581748,0.049985
4,RL,1,Balanced,-0.000123978,Medium,1,Medium,1,21.0157,3553.26,8.1759,0.581941,0.04998
5,RL,1,Balanced,-6.77E-05,Medium,1,Medium,1,21.0316,3553.5,8.17597,0.582176,0.049975
6,RL,1,Balanced,-0.00361824,Medium,1,Medium,1,21.0898,3566.38,8.17959,0.582157,0.04997
7,RL,1,Balanced,0.00584888,Medium,1,Medium,1,20.9827,3545.58,8.17374,0.581475,0.049965
8,RL,1,Balanced,-0.0057106,Medium,1,Medium,1,21.0882,3565.89,8.17945,0.581736,0.04996
9,RL,1,Balanced,0.000963211,Medium,1,Medium,1,21.0681,3562.45,8.17849,0.582084,0.049955
10,RL,1,Balanced,0.00145817,Medium,1,Medium,1,21.0396,3557.26,8.17703,0.581718,0.04995
11,RL,1,Balanced,0.000669479,Medium,1,Medium,1,21.04,3554.88,8.17636,0.581548,0.049945
12,RL,1,Balanced,0.00142097,Medium,1,Medium,1,21.0011,3549.83,8.17494,0.581238,0.04994
13,RL,1,Balanced,0.000796318,Medium,1,Medium,1,20.9841,3547,8.17414,0.581681,0.049935
14,RL,1,Balanced,5.14984e-05,Medium,1,Medium,1,20.9977,3546.82,8.17409,0.581816,0.04993
15,RL,1,Balanced,-0.00153828,Medium,1,Medium,1,21.0174,3552.29,8.17563,0.581707,0.0499251
16,RL,1,Balanced,-0.000602722,Medium,1,Medium,1,21.0355,3554.43,8.17623,0.581662,0.0499201
17,RL,1,Balanced,0.00230312,Medium,1,Medium,1,20.9947,3546.25,8.17393,0.581513,0.0499151
18,RL,1,Balanced,1.81198e-05,Medium,1,Medium,1,20.9832,3546.18,8.17391,0.581805,0.0499101
19,RL,1,Balanced,-0.0023613,Medium,1,Medium,1,21.0292,3554.57,8.17627,0.581644,0.0499051
20,RL,1,Balanced,-0.00383472,Medium,1,Medium,1,21.0996,3568.23,8.18011,0.581793,0.0499001
21,RL,1,Balanced,0.00502014,Medium,1,Medium,1,21.0232,3550.36,8.17509,0.582181,0.0498951
22,RL,1,Balanced,-0.000712395,Medium,1,Medium,1,21.0292,3552.89,8.1758,0.581742,0.0498901
23,RL,1,Balanced,0.00100136,Medium,1,Medium,1,20.9953,3549.33,8.1748,0.582011,0.0498851
24,RL,1,Balanced,0.00109005,Medium,1,Medium,1,20.9968,3545.46,8.17371,0.582162,0.0498801
25,RL,1,Balanced,-0.00153732,Medium,1,Medium,1,21.0076,3550.92,8.17524,0.581673,0.0498752
