Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,77,BSDF Heavy,0,High,2,High,2,High,2,Medium,1,3.25957,721.745,6.58306,0.0627142,0.1
2,RL,120,BSDF Heavy,0.658321,High,2,Low,0,High,2,Medium,1,3.24389,717.002,6.57647,0.0658703,0.1
3,RL,121,BSDF Heavy,-0.320768,High,2,Medium,1,High,2,Medium,1,3.24433,719.309,6.57968,0.0656812,0.1
4,RL,122,BSDF Heavy,-0.534868,High,2,High,2,High,2,High,2,3.26656,723.172,6.58503,0.0657635,0.19996
5,RL,122,BSDF Heavy,0.168467,High,2,High,2,High,2,High,2,3.25878,721.953,6.58334,0.0660148,0.19996
6,RL,120,BSDF Heavy,0.548315,High,2,Low,0,High,2,High,2,3.24109,718,6.57786,0.0656543,0.19996
7,RL,120,BSDF Heavy,0.0067234,High,2,Low,0,High,2,High,2,3.24298,717.952,6.57779,0.0656029,0.19996
8,RL,122,Balanced,-1.63679,High,2,High,2,High,2,High,2,3.28997,729.816,6.59416,0.0658311,0.19992
9,RL,75,Balanced,1.60422,High,2,Low,0,High,2,High,2,3.24031,718.186,6.57812,0.0628018,0.19992
10,RL,77,Balanced,-0.796127,High,2,High,2,High,2,High,2,3.26458,723.934,6.58608,0.0627749,0.19992
11,RL,77,Balanced,-0.304222,High,2,High,2,High,2,High,2,3.27776,726.143,6.58912,0.0630623,0.19992
12,RL,76,BSDF Heavy,0.947475,Medium,1,Medium,1,High,2,Medium,1,3.24706,719.286,6.57965,0.0631761,0.19988
13,RL,121,BSDF Heavy,-0.0514984,Medium,1,Medium,1,High,2,Medium,1,3.24972,719.657,6.58016,0.0657781,0.19988
14,RL,122,BSDF Heavy,-0.497341,Medium,1,High,2,High,2,Medium,1,3.26084,723.25,6.58514,0.0657189,0.19988
15,RL,122,BSDF Heavy,0.140762,Medium,1,High,2,High,2,Medium,1,3.25877,722.231,6.58373,0.0657297,0.19988
16,RL,122,Balanced,-0.655508,High,2,High,2,High,2,High,2,3.27568,726.988,6.59028,0.0654123,0.19984
17,RL,60,Balanced,1.3988,High,2,Low,0,High,2,High,2,3.23311,716.876,6.5763,0.0626804,0.19984
18,RL,77,Balanced,-0.484037,High,2,High,2,High,2,High,2,3.24539,720.359,6.58114,0.0626397,0.19984
19,RL,60,Balanced,0.367212,High,2,Low,0,High,2,High,2,3.23611,717.715,6.57746,0.0627296,0.19984
20,RL,77,Balanced,-0.938797,High,2,High,2,High,2,Medium,1,3.26523,724.494,6.58685,0.0625559,0.1998
21,RL,76,Balanced,0.665808,High,2,Medium,1,High,2,Medium,1,3.246,719.679,6.58019,0.0628817,0.1998
22,RL,76,Balanced,-0.00329018,High,2,Medium,1,High,2,Medium,1,3.24645,719.703,6.58023,0.0626012,0.1998
23,RL,60,Balanced,0.225401,High,2,Low,0,High,2,Medium,1,3.23781,718.081,6.57797,0.0624353,0.1998
24,RL,76,Balanced,-0.185633,Medium,1,Medium,1,High,2,Medium,1,3.24387,719.417,6.57983,0.0626474,0.19976
