Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,Baseline,0,Balanced,0,Low,0,Low,0,9.74697,2225.98,7.7084,0.0904755,0.1
2,Baseline,0,Balanced,0,Low,0,Low,0,9.67771,2209.41,7.70093,0.0901394,0.1
3,Baseline,0,Balanced,0,Low,0,Low,0,9.76245,2229.71,7.71007,0.0905609,0.1
4,Baseline,0,Balanced,0,Low,0,Low,0,9.73939,2225.11,7.70801,0.0903342,0.1
5,Baseline,0,Balanced,0,Low,0,Low,0,9.75753,2229.33,7.70991,0.0904234,0.1
6,Baseline,0,Balanced,0,Low,0,Low,0,9.75907,2229.18,7.70984,0.0902527,0.1
7,Baseline,0,Balanced,0,Low,0,Low,0,9.74367,2225.83,7.70833,0.0904094,0.1
8,Baseline,0,Balanced,0,Low,0,Low,0,9.78636,2233.98,7.71199,0.0903887,0.1
9,Baseline,0,Balanced,0,Low,0,Low,0,9.78111,2234.34,7.71215,0.0905112,0.1
10,Baseline,0,Balanced,0,Low,0,Low,0,9.71968,2221.01,7.70617,0.0902373,0.1
11,Baseline,0,Balanced,0,Low,0,Low,0,9.70994,2217.08,7.7044,0.0901606,0.1
12,Baseline,0,Balanced,0,Low,0,Low,0,9.76998,2231.39,7.71083,0.090313,0.1
13,Baseline,0,Balanced,0,Low,0,Low,0,9.71723,2219.72,7.70559,0.0903221,0.1
14,Baseline,0,Balanced,0,Low,0,Low,0,9.70075,2216.18,7.70399,0.0900776,0.1
15,Baseline,0,Balanced,0,Low,0,Low,0,9.73466,2222.56,7.70687,0.0903077,0.1
16,Baseline,0,Balanced,0,Low,0,Low,0,9.71845,2216.65,7.7042,0.0904065,0.1
17,Baseline,0,Balanced,0,Low,0,Low,0,9.76264,2229.01,7.70976,0.0906337,0.1
18,Baseline,0,Balanced,0,Low,0,Low,0,9.75675,2229.08,7.70979,0.0903829,0.1
19,Baseline,0,Balanced,0,Low,0,Low,0,9.74078,2224.56,7.70776,0.0903395,0.1
20,Baseline,0,Balanced,0,Low,0,Low,0,9.7733,2231.16,7.71073,0.0905324,0.1
21,Baseline,0,Balanced,0,Low,0,Low,0,9.75371,2227.92,7.70927,0.0905199,0.1
22,Baseline,0,Balanced,0,Low,0,Low,0,9.75159,2226.73,7.70874,0.0902542,0.1
23,Baseline,0,Balanced,0,Low,0,Low,0,9.73895,2223.85,7.70744,0.0904697,0.1
24,Baseline,0,Balanced,0,Low,0,Low,0,9.70255,2213.42,7.70275,0.0903231,0.1
25,Baseline,0,Balanced,0,Low,0,Low,0,9.72873,2222.75,7.70695,0.0904606,0.1
26,Baseline,0,Balanced,0,Low,0,Low,0,9.78435,2234.76,7.71234,0.0904253,0.1
27,Baseline,0,Balanced,0,Low,0,Low,0,9.72428,2220.34,7.70587,0.0902604,0.1
28,Baseline,0,Balanced,0,Low,0,Low,0,9.72412,2220.77,7.70606,0.0902474,0.1
29,Baseline,0,Balanced,0,Low,0,Low,0,9.7385,2222.64,7.7069,0.0903694,0.1
30,Baseline,0,Balanced,0,Low,0,Low,0,9.74179,2225.77,7.70831,0.0902677,0.1
31,Baseline,0,Balanced,0,Low,0,Low,0,9.73992,2224.65,7.7078,0.0905483,0.1
32,Baseline,0,Balanced,0,Low,0,Low,0,9.76336,2229.49,7.70998,0.0905652,0.1
33,Baseline,0,Balanced,0,Low,0,Low,0,9.73964,2224.58,7.70777,0.0903974,0.1
34,Baseline,0,Balanced,0,Low,0,Low,0,9.75683,2227.17,7.70894,0.0904022,0.1
35,Baseline,0,Balanced,0,Low,0,Low,0,9.75402,2227.44,7.70905,0.0902339,0.1
36,Baseline,0,Balanced,0,Low,0,Low,0,9.71975,2219.3,7.7054,0.0903612,0.1
37,Baseline,0,Balanced,0,Low,0,Low,0,9.76068,2228.04,7.70932,0.0905223,0.1
38,Baseline,0,Balanced,0,Low,0,Low,0,9.70497,2216.62,7.70419,0.0901341,0.1
39,Baseline,0,Balanced,0,Low,0,Low,0,9.74631,2226.29,7.70854,0.090014,0.1
40,Baseline,0,Balanced,0,Low,0,Low,0,9.73867,2225.14,7.70803,0.0903139,0.1
41,Baseline,0,Balanced,0,Low,0,Low,0,9.71367,2219.59,7.70553,0.090205,0.1
42,Baseline,0,Balanced,0,Low,0,Low,0,9.76284,2230.39,7.71038,0.0902286,0.1
43,Baseline,0,Balanced,0,Low,0,Low,0,9.70419,2216.57,7.70417,0.0903559,0.1
44,Baseline,0,Balanced,0,Low,0,Low,0,9.75676,2229.39,7.70993,0.090395,0.1
45,Baseline,0,Balanced,0,Low,0,Low,0,9.76662,2229.54,7.71,0.0905575,0.1
46,Baseline,0,Balanced,0,Low,0,Low,0,9.72116,2220.68,7.70602,0.0904548,0.1
47,Baseline,0,Balanced,0,Low,0,Low,0,9.6986,2214.39,7.70318,0.0900907,0.1
48,Baseline,0,Balanced,0,Low,0,Low,0,9.73604,2223.96,7.70749,0.0902725,0.1
49,Baseline,0,Balanced,0,Low,0,Low,0,9.7754,2232.67,7.7114,0.0903911,0.1
50,Baseline,0,Balanced,0,Low,0,Low,0,9.73647,2223.27,7.70718,0.090244,0.1
51,Baseline,0,Balanced,0,Low,0,Low,0,9.76682,2231.62,7.71093,0.0904282,0.1
52,Baseline,0,Balanced,0,Low,0,Low,0,9.73138,2221.27,7.70628,0.0903463,0.1
53,Baseline,0,Balanced,0,Low,0,Low,0,9.70294,2216.99,7.70436,0.0905396,0.1
54,Baseline,0,Balanced,0,Low,0,Low,0,9.80184,2236.68,7.7132,0.0907055,0.1
55,Baseline,0,Balanced,0,Low,0,Low,0,9.75348,2227.26,7.70898,0.0900429,0.1
56,Baseline,0,Balanced,0,Low,0,Low,0,9.78292,2234.12,7.71205,0.0905657,0.1
57,Baseline,0,Balanced,0,Low,0,Low,0,9.74937,2226.05,7.70843,0.0902271,0.1
58,Baseline,0,Balanced,0,Low,0,Low,0,9.72209,2219.46,7.70547,0.0904326,0.1
59,Baseline,0,Balanced,0,Low,0,Low,0,9.75403,2225.9,7.70837,0.0906453,0.1
60,Baseline,0,Balanced,0,Low,0,Low,0,9.76527,2230.81,7.71057,0.0907364,0.1
61,Baseline,0,Balanced,0,Low,0,Low,0,9.7935,2236.42,7.71308,0.0906901,0.1
62,Baseline,0,Balanced,0,Low,0,Low,0,9.7196,2219.4,7.70544,0.0901124,0.1
63,Baseline,0,Balanced,0,Low,0,Low,0,9.68541,2212.61,7.70238,0.0902315,0.1
64,Baseline,0,Balanced,0,Low,0,Low,0,9.74699,2225.81,7.70832,0.0905811,0.1
65,Baseline,0,Balanced,0,Low,0,Low,0,9.73623,2225.51,7.70819,0.0906318,0.1
66,Baseline,0,Balanced,0,Low,0,Low,0,9.74002,2224.21,7.70761,0.0903993,0.1
67,Baseline,0,Balanced,0,Low,0,Low,0,9.77812,2234.38,7.71217,0.0906858,0.1
68,Baseline,0,Balanced,0,Low,0,Low,0,9.73225,2223,7.70706,0.0906081,0.1
69,Baseline,0,Balanced,0,Low,0,Low,0,9.73109,2222.74,7.70694,0.0905117,0.1
70,Baseline,0,Balanced,0,Low,0,Low,0,9.74272,2225.22,7.70806,0.0903868,0.1
71,Baseline,0,Balanced,0,Low,0,Low,0,9.72057,2220.73,7.70604,0.0901008,0.1
72,Baseline,0,Balanced,0,Low,0,Low,0,9.73826,2223.11,7.70711,0.0906091,0.1
73,Baseline,0,Balanced,0,Low,0,Low,0,9.75316,2226.44,7.70861,0.0904302,0.1
74,Baseline,0,Balanced,0,Low,0,Low,0,9.74076,2224.47,7.70772,0.0905483,0.1
75,Baseline,0,Balanced,0,Low,0,Low,0,9.77087,2229.4,7.70993,0.0905044,0.1
76,Baseline,0,Balanced,0,Low,0,Low,0,9.72196,2220.43,7.7059,0.0904123,0.1
77,Baseline,0,Balanced,0,Low,0,Low,0,9.69736,2214.29,7.70314,0.0902252,0.1
78,Baseline,0,Balanced,0,Low,0,Low,0,9.72952,2221.32,7.70631,0.0903689,0.1
79,Baseline,0,Balanced,0,Low,0,Low,0,9.70855,2216.6,7.70418,0.090381,0.1
80,Baseline,0,Balanced,0,Low,0,Low,0,9.80333,2237.96,7.71377,0.090422,0.1
81,Baseline,0,Balanced,0,Low,0,Low,0,9.78518,2233.92,7.71196,0.090462,0.1
82,Baseline,0,Balanced,0,Low,0,Low,0,9.73621,2223.29,7.7072,0.0902792,0.1
83,Baseline,0,Balanced,0,Low,0,Low,0,9.7809,2233.27,7.71167,0.0904027,0.1
84,Baseline,0,Balanced,0,Low,0,Low,0,9.76061,2230.28,7.71033,0.0902069,0.1
85,Baseline,0,Balanced,0,Low,0,Low,0,9.7315,2222.4,7.70679,0.0901244,0.1
86,Baseline,0,Balanced,0,Low,0,Low,0,9.75897,2228.9,7.70971,0.0905001,0.1
87,Baseline,0,Balanced,0,Low,0,Low,0,9.73246,2222.09,7.70665,0.0902532,0.1
88,Baseline,0,Balanced,0,Low,0,Low,0,9.75085,2227.75,7.70919,0.0901215,0.1
89,Baseline,0,Balanced,0,Low,0,Low,0,9.78423,2235.34,7.71259,0.0907007,0.1
90,Baseline,0,Balanced,0,Low,0,Low,0,9.70069,2214.61,7.70328,0.090164,0.1
91,Baseline,0,Balanced,0,Low,0,Low,0,9.74025,2223.21,7.70716,0.0903781,0.1
92,Baseline,0,Balanced,0,Low,0,Low,0,9.76886,2230.24,7.71031,0.0904953,0.1
93,Baseline,0,Balanced,0,Low,0,Low,0,9.69443,2215.13,7.70352,0.0901066,0.1
94,Baseline,0,Balanced,0,Low,0,Low,0,9.72993,2221.7,7.70648,0.0903004,0.1
95,Baseline,0,Balanced,0,Low,0,Low,0,9.72458,2220.74,7.70605,0.0901562,0.1
96,Baseline,0,Balanced,0,Low,0,Low,0,9.78566,2234.67,7.71229,0.0905845,0.1
97,Baseline,0,Balanced,0,Low,0,Low,0,9.75285,2228.17,7.70939,0.0903819,0.1
98,Baseline,0,Balanced,0,Low,0,Low,0,9.76854,2229.78,7.71011,0.0905527,0.1
99,Baseline,0,Balanced,0,Low,0,Low,0,9.73812,2223.48,7.70728,0.0904943,0.1
100,Baseline,0,Balanced,0,Low,0,Low,0,9.74425,2225.12,7.70802,0.0903352,0.1
101,Baseline,0,Balanced,0,Low,0,Low,0,9.73551,2223.62,7.70734,0.089946,0.1
102,Baseline,0,Balanced,0,Low,0,Low,0,9.75883,2227.9,7.70926,0.09057,0.1
103,Baseline,0,Balanced,0,Low,0,Low,0,9.73017,2222.57,7.70687,0.0900309,0.1
104,Baseline,0,Balanced,0,Low,0,Low,0,9.72236,2221,7.70616,0.0902464,0.1
105,Baseline,0,Balanced,0,Low,0,Low,0,9.74512,2226.44,7.70861,0.090503,0.1
106,Baseline,0,Balanced,0,Low,0,Low,0,9.76411,2229.04,7.70977,0.0906491,0.1
107,Baseline,0,Balanced,0,Low,0,Low,0,9.70117,2216.22,7.70401,0.0902291,0.1
108,Baseline,0,Balanced,0,Low,0,Low,0,9.71268,2219.54,7.70551,0.0901934,0.1
109,Baseline,0,Balanced,0,Low,0,Low,0,9.7354,2222.98,7.70705,0.0903438,0.1
110,Baseline,0,Balanced,0,Low,0,Low,0,9.75297,2225.85,7.70834,0.0902498,0.1
111,Baseline,0,Balanced,0,Low,0,Low,0,9.70339,2217.16,7.70443,0.0901775,0.1
112,Baseline,0,Balanced,0,Low,0,Low,0,9.70553,2215.8,7.70382,0.0904451,0.1
113,Baseline,0,Balanced,0,Low,0,Low,0,9.77296,2230.76,7.71055,0.0907412,0.1
114,Baseline,0,Balanced,0,Low,0,Low,0,9.71753,2219.92,7.70568,0.0902628,0.1
115,Baseline,0,Balanced,0,Low,0,Low,0,9.70467,2214.16,7.70308,0.0903872,0.1
116,Baseline,0,Balanced,0,Low,0,Low,0,9.77041,2231.98,7.71109,0.0906515,0.1
117,Baseline,0,Balanced,0,Low,0,Low,0,9.7258,2220.36,7.70587,0.0904205,0.1
118,Baseline,0,Balanced,0,Low,0,Low,0,9.75838,2227.39,7.70903,0.0903656,0.1
119,Baseline,0,Balanced,0,Low,0,Low,0,9.71294,2217.44,7.70456,0.090462,0.1
120,Baseline,0,Balanced,0,Low,0,Low,0,9.73943,2223.47,7.70727,0.0903318,0.1
121,Baseline,0,Balanced,0,Low,0,Low,0,9.73595,2222.8,7.70697,0.0902797,0.1
122,Baseline,0,Balanced,0,Low,0,Low,0,9.68656,2211.75,7.70199,0.090108,0.1
123,Baseline,0,Balanced,0,Low,0,Low,0,9.76091,2229.76,7.7101,0.0906882,0.1
124,Baseline,0,Balanced,0,Low,0,Low,0,9.72331,2221.47,7.70638,0.0900526,0.1
125,Baseline,0,Balanced,0,Low,0,Low,0,9.7145,2218.42,7.705,0.0901968,0.1
126,Baseline,0,Balanced,0,Low,0,Low,0,9.7433,2225.72,7.70829,0.0904596,0.1
127,Baseline,0,Balanced,0,Low,0,Low,0,9.7055,2216.33,7.70406,0.0903983,0.1
128,Baseline,0,Balanced,0,Low,0,Low,0,9.79589,2236.56,7.71314,0.0906303,0.1
129,Baseline,0,Balanced,0,Low,0,Low,0,9.73934,2223.84,7.70744,0.0903453,0.1
130,Baseline,0,Balanced,0,Low,0,Low,0,9.7446,2225.31,7.7081,0.0901765,0.1
131,Baseline,0,Balanced,0,Low,0,Low,0,9.71118,2217.4,7.70454,0.0902083,0.1
132,Baseline,0,Balanced,0,Low,0,Low,0,9.7715,2230.28,7.71033,0.0906221,0.1
133,Baseline,0,Balanced,0,Low,0,Low,0,9.74486,2225.63,7.70824,0.0902373,0.1
134,Baseline,0,Balanced,0,Low,0,Low,0,9.71393,2218.45,7.70501,0.0900448,0.1
135,Baseline,0,Balanced,0,Low,0,Low,0,9.71233,2218.04,7.70483,0.0902595,0.1
136,Baseline,0,Balanced,0,Low,0,Low,0,9.7817,2233.74,7.71188,0.090639,0.1
137,Baseline,0,Balanced,0,Low,0,Low,0,9.75607,2228.48,7.70952,0.0902609,0.1
138,Baseline,0,Balanced,0,Low,0,Low,0,9.77075,2231.63,7.71093,0.090434,0.1
139,Baseline,0,Balanced,0,Low,0,Low,0,9.75555,2228.95,7.70973,0.0904895,0.1
140,Baseline,0,Balanced,0,Low,0,Low,0,9.76358,2229.31,7.7099,0.0904355,0.1
141,Baseline,0,Balanced,0,Low,0,Low,0,9.71046,2218.62,7.70509,0.0903858,0.1
142,Baseline,0,Balanced,0,Low,0,Low,0,9.76036,2229.51,7.70998,0.0904895,0.1
