Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,BSDF Heavy,0,Low,0,Low,0,9.74697,2225.98,7.7084,0.0904755,0.049995
2,RL,0,BSDF Heavy,0.00382233,Low,0,Low,0,9.71488,2217.49,7.70458,0.0894801,0.04999
3,RL,0,Balanced,-0.0062809,Low,0,Low,0,9.77569,2231.46,7.71086,0.0896726,0.049985
4,RL,0,Balanced,0.00284863,Low,0,Low,0,9.73939,2225.11,7.70801,0.0903342,0.04998
5,RL,0,Balanced,-0.00189304,Low,0,Low,0,9.75753,2229.33,7.70991,0.0904234,0.049975
6,RL,0,Balanced,6.67572e-05,Low,0,Low,0,9.75907,2229.18,7.70984,0.0902527,0.04997
7,RL,0,Balanced,0.00150537,Low,0,Low,0,9.74367,2225.83,7.70833,0.0904094,0.049965
8,RL,0,Light Heavy,-0.003654,Low,0,Low,0,9.78636,2233.98,7.71199,0.0903887,0.04996
9,RL,0,Light Heavy,0.000876904,Low,0,Low,0,9.76807,2232.02,7.71111,0.0873085,0.049955
10,RL,0,Light Heavy,0.00226068,Low,0,Low,0,9.74674,2226.98,7.70885,0.0869845,0.04995
11,RL,0,Balanced,0.00688982,Low,0,Low,0,9.67752,2211.68,7.70196,0.086779,0.049945
12,RL,0,Light Heavy,-0.00886631,Low,0,Low,0,9.76998,2231.39,7.71083,0.090313,0.04994
13,RL,0,Light Heavy,0.004457,Low,0,Low,0,9.72042,2221.46,7.70637,0.0871465,0.049935
14,RL,0,Light Heavy,0.00214529,Low,0,Low,0,9.7021,2216.7,7.70422,0.0868244,0.04993
15,RL,0,Light Heavy,-0.00371599,Low,0,Low,0,9.74088,2224.95,7.70794,0.0871118,0.0499251
16,RL,0,Light Heavy,0.00422525,Low,0,Low,0,9.70241,2215.57,7.70371,0.0870274,0.0499201
17,RL,0,Light Heavy,-0.0037322,Low,0,Low,0,9.73485,2223.86,7.70745,0.0871851,0.0499151
18,RL,0,Light Heavy,0.000174522,Low,0,Low,0,9.73226,2223.47,7.70727,0.0872907,0.0499101
19,RL,0,Light Heavy,0.000484943,Low,0,Low,0,9.72418,2222.39,7.70679,0.087105,0.0499051
20,RL,0,Light Heavy,-0.00381374,Low,0,Low,0,9.75717,2230.88,7.7106,0.0870284,0.0499001
21,RL,0,Light Heavy,0.00301409,Low,0,Low,0,9.72871,2224.17,7.70759,0.0871243,0.0498951
22,RL,0,Light Heavy,-0.00173855,Low,0,Low,0,9.74609,2228.04,7.70933,0.0871504,0.0498901
23,RL,0,Light Heavy,0.00353479,Low,0,Low,0,9.71865,2220.17,7.70579,0.0871798,0.0498851
24,RL,0,Light Heavy,-0.00103712,Low,0,Low,0,9.73372,2222.48,7.70683,0.0870404,0.0498801
25,RL,0,Light Heavy,0.00137711,Low,0,Low,0,9.70853,2219.42,7.70545,0.0869777,0.0498752
26,RL,0,Light Heavy,-0.00639677,Low,0,Low,0,9.77245,2233.67,7.71185,0.0872444,0.0498702
27,RL,0,Light Heavy,0.00693464,Low,0,Low,0,9.70824,2218.22,7.70491,0.0870221,0.0498652
28,RL,0,Light Heavy,-0.00490427,Low,0,Low,0,9.75703,2229.13,7.70982,0.0873153,0.0498602
29,RL,0,Light Heavy,0.000497341,Low,0,Low,0,9.75777,2228.03,7.70932,0.0872516,0.0498552
30,RL,0,Light Heavy,0.00180578,Low,0,Low,0,9.72699,2224.01,7.70751,0.0870496,0.0498502
31,RL,0,Light Heavy,-6.53267e-05,Low,0,Low,0,9.73871,2224.15,7.70758,0.0870978,0.0498452
32,RL,0,Light Heavy,-0.00379181,Low,0,Low,0,9.77427,2232.6,7.71137,0.0872193,0.0498403
33,RL,0,Light Heavy,0.00411987,Low,0,Low,0,9.72631,2223.42,7.70725,0.0870018,0.0498353
34,RL,0,Light Heavy,0.00122452,Low,0,Low,0,9.7174,2220.7,7.70603,0.0871316,0.0498303
35,RL,0,Light Heavy,-0.00545311,Low,0,Low,0,9.77309,2232.85,7.71148,0.0872724,0.0498253
36,RL,0,Light Heavy,0.00684309,Low,0,Low,0,9.70762,2217.61,7.70464,0.0871099,0.0498203
37,RL,0,Light Heavy,-0.00379753,Low,0,Low,0,9.74635,2226.05,7.70843,0.0871267,0.0498153
38,RL,0,Light Heavy,0.00684643,Low,0,Low,0,9.67961,2210.86,7.70159,0.0868234,0.0498104
39,RL,0,Light Heavy,-0.00503969,Low,0,Low,0,9.72311,2222.03,7.70663,0.0869743,0.0498054
40,RL,0,Light Heavy,-0.000199795,Low,0,Low,0,9.72706,2222.48,7.70683,0.0872227,0.0498004
41,RL,0,Light Heavy,0.00200796,Low,0,Low,0,9.70199,2218.02,7.70482,0.0869864,0.0497954
42,RL,0,Light Heavy,-0.00596714,Low,0,Low,0,9.76112,2231.3,7.71079,0.0870467,0.0497904
