Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,Baseline,45,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257513,1.10383,0.743759,0.0601883,0.1
2,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257548,0.856217,0.618541,0.0753324,0.1
3,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257647,0.774948,0.573771,0.0792331,0.1
4,Baseline,90,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257638,0.733095,0.549909,0.0674057,0.1
5,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25769,0.708534,0.535636,0.0491485,0.1
6,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257629,0.69215,0.526,0.0463229,0.1
7,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257612,0.680381,0.51902,0.041696,0.1
8,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257622,0.671743,0.513867,0.0396749,0.1
9,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25762,0.66479,0.509699,0.0371382,0.1
10,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257578,0.659311,0.506402,0.0347091,0.1
11,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257523,0.654728,0.503637,0.0337762,0.1
12,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257525,0.651087,0.501434,0.0330569,0.1
13,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257529,0.647985,0.499553,0.0320987,0.1
14,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257506,0.64539,0.497978,0.0312541,0.1
15,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257435,0.643081,0.496573,0.030541,0.1
16,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257413,0.640877,0.495231,0.0302436,0.1
17,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257432,0.639252,0.49424,0.0300315,0.1
18,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257405,0.637538,0.493194,0.0297572,0.1
19,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257412,0.636116,0.492325,0.0294344,0.1
20,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257438,0.634946,0.49161,0.0291777,0.1
21,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257412,0.633757,0.490882,0.028991,0.1
22,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257427,0.632647,0.490202,0.0289119,0.1
23,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257417,0.631905,0.489748,0.0288296,0.1
24,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257467,0.631141,0.48928,0.0286836,0.1
25,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25747,0.630248,0.488732,0.0285591,0.1
26,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257483,0.629541,0.488298,0.0284531,0.1
27,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257489,0.628926,0.487921,0.0284147,0.1
28,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257477,0.628209,0.487481,0.0283447,0.1
29,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257474,0.627574,0.487091,0.0282694,0.1
30,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257463,0.626948,0.486706,0.0282064,0.1
31,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257439,0.626316,0.486317,0.0281741,0.1
32,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257422,0.625814,0.486009,0.0281157,0.1
33,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257408,0.625302,0.485694,0.0280696,0.1
34,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25738,0.624901,0.485447,0.0280512,0.1
35,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25738,0.624438,0.485162,0.0280081,0.1
36,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25739,0.624061,0.48493,0.0279505,0.1
37,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257363,0.623755,0.484742,0.0279298,0.1
38,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25737,0.623506,0.484588,0.0278737,0.1
39,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25737,0.623156,0.484372,0.0278729,0.1
40,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257356,0.622824,0.484168,0.0278767,0.1
41,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257349,0.622529,0.483986,0.0278483,0.1
42,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257376,0.622355,0.483878,0.0278306,0.1
43,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257391,0.622096,0.483719,0.0278337,0.1
44,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257393,0.621813,0.483545,0.0278053,0.1
45,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257391,0.621589,0.483406,0.0277868,0.1
46,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257394,0.621456,0.483325,0.0277807,0.1
47,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257422,0.621336,0.48325,0.0277745,0.1
48,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257403,0.621087,0.483097,0.0277784,0.1
49,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257384,0.620826,0.482936,0.0277415,0.1
50,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.2574,0.620652,0.482829,0.0277108,0.1
51,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257388,0.620378,0.482659,0.0277131,0.1
52,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257385,0.620173,0.482533,0.0277131,0.1
53,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257376,0.619949,0.482395,0.0276908,0.1
54,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257377,0.619764,0.48228,0.0276908,0.1
55,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257392,0.619596,0.482177,0.0276862,0.1
56,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257405,0.619459,0.482092,0.0276946,0.1
57,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257416,0.619263,0.481971,0.0276654,0.1
58,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257415,0.61915,0.481901,0.027657,0.1
59,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257407,0.61897,0.48179,0.0276662,0.1
60,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257402,0.618827,0.481702,0.0276616,0.1
61,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.2574,0.61871,0.48163,0.0276454,0.1
62,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257378,0.618543,0.481526,0.0276331,0.1
63,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257371,0.618446,0.481466,0.0276431,0.1
64,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257375,0.618301,0.481377,0.0276493,0.1
65,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257369,0.618176,0.4813,0.0276239,0.1
66,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257358,0.618069,0.481234,0.0276216,0.1
67,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257357,0.617939,0.481153,0.0276408,0.1
68,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257362,0.617836,0.481089,0.0276247,0.1
69,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25736,0.61773,0.481024,0.0276078,0.1
70,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25737,0.617639,0.480968,0.0276062,0.1
71,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257366,0.617543,0.480908,0.0276109,0.1
72,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257364,0.617413,0.480828,0.0276101,0.1
73,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257361,0.617315,0.480767,0.0276047,0.1
74,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257378,0.617216,0.480706,0.0276024,0.1
75,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257384,0.617127,0.480651,0.0276055,0.1
76,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257385,0.617009,0.480578,0.0276093,0.1
77,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257393,0.61692,0.480523,0.0275978,0.1
78,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25739,0.616858,0.480485,0.0275955,0.1
79,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257389,0.616795,0.480446,0.0275978,0.1
80,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257387,0.616719,0.480399,0.0276009,0.1
81,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257396,0.616624,0.48034,0.0275939,0.1
82,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257408,0.616597,0.480323,0.0276024,0.1
83,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257414,0.61654,0.480288,0.0275786,0.1
84,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257422,0.616483,0.480253,0.0275939,0.1
85,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257423,0.616423,0.480216,0.0275947,0.1
86,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257429,0.616353,0.480173,0.0275963,0.1
87,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257429,0.616276,0.480125,0.0275763,0.1
88,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257437,0.616242,0.480104,0.0275617,0.1
89,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257445,0.616208,0.480083,0.0275655,0.1
90,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257443,0.616144,0.480043,0.0275601,0.1
91,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257444,0.6161,0.480016,0.0275455,0.1
92,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257439,0.616024,0.479969,0.0275394,0.1
93,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257433,0.615949,0.479923,0.027544,0.1
94,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257433,0.615876,0.479877,0.027554,0.1
95,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257427,0.615825,0.479846,0.0275325,0.1
96,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257425,0.615749,0.479799,0.0275348,0.1
97,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257425,0.6157,0.479768,0.0275302,0.1
98,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257426,0.615669,0.479749,0.0275294,0.1
99,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257413,0.615588,0.479699,0.0275217,0.1
100,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257404,0.615521,0.479657,0.0275217,0.1
101,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257399,0.615471,0.479627,0.0275048,0.1
102,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257397,0.615422,0.479596,0.027514,0.1
103,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257394,0.615387,0.479574,0.0275286,0.1
104,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257404,0.615345,0.479548,0.0275294,0.1
105,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257397,0.615284,0.479511,0.0275186,0.1
106,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257394,0.615203,0.479461,0.0275186,0.1
107,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257399,0.61515,0.479428,0.0275186,0.1
108,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257405,0.615131,0.479416,0.0275148,0.1
109,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257406,0.615074,0.479381,0.0275017,0.1
110,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257401,0.615012,0.479342,0.0275063,0.1
111,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257405,0.614953,0.479306,0.0274963,0.1
112,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257405,0.614936,0.479295,0.0274894,0.1
113,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257397,0.61488,0.479261,0.027481,0.1
114,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257394,0.614816,0.479221,0.0274917,0.1
115,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257395,0.614768,0.479191,0.0274841,0.1
116,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257397,0.614738,0.479172,0.0274825,0.1
117,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257394,0.614676,0.479135,0.0274971,0.1
118,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257388,0.614627,0.479104,0.0274925,0.1
119,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.25738,0.614561,0.479063,0.027501,0.1
120,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.257375,0.614534,0.479046,0.0275094,0.1
