Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.287305,1.21032,0.793136,0.0666695,0.1
2,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.287149,0.908802,0.646476,0.0857143,0.1
3,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.287293,0.8105,0.593603,0.0910167,0.1
4,RL,90,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.28741,0.759161,0.564837,0.0789764,0.1
5,RL,45,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.287463,0.728973,0.547527,0.0607915,0.1
6,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.287485,0.709488,0.536194,0.0541097,0.1
7,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,High,2,0.287559,0.695061,0.527719,0.0490471,0.1
8,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287585,0.684614,0.521537,0.0466864,0.19992
9,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.28762,0.676203,0.516531,0.0440413,0.19992
10,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287576,0.669408,0.512469,0.0414747,0.19992
11,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287467,0.663673,0.509028,0.0396965,0.19992
12,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287511,0.659163,0.506313,0.0383693,0.19992
13,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287492,0.655285,0.503973,0.0371628,0.19992
14,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287474,0.652108,0.502052,0.0361316,0.19992
15,RL,0,Light Heavy,0,Low,0,Low,0,Low,0,Low,0,0.28742,0.64932,0.500363,0.035267,0.19992
16,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287401,0.646618,0.498724,0.034703,0.19984
17,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287411,0.644532,0.497456,0.0341443,0.19984
18,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287353,0.642431,0.496178,0.0336756,0.19984
19,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287377,0.640664,0.495101,0.0332337,0.19984
20,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287445,0.639225,0.494224,0.0328318,0.19984
21,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287437,0.637763,0.493332,0.0325405,0.19984
22,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287406,0.636406,0.492502,0.0323008,0.19984
23,RL,0,BSDF Heavy,0,Low,0,Low,0,Low,0,Low,0,0.287419,0.635492,0.491944,0.0320042,0.19984
24,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287431,0.634522,0.491351,0.0317813,0.19976
25,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287404,0.633434,0.490685,0.0315823,0.19976
26,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287423,0.632557,0.490147,0.031437,0.19976
27,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287439,0.631781,0.489672,0.0312887,0.19976
28,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287419,0.630902,0.489133,0.0310743,0.19976
29,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287429,0.630136,0.488663,0.030916,0.19976
30,RL,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.287415,0.629376,0.488197,0.0307892,0.19976
