Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,0,Balanced,0,Low,0,Low,0,3.25957,721.745,6.58306,0.0627142,0.19999
2,RL,0,Balanced,0.492191,Low,0,Low,0,3.24261,718.196,6.57813,0.0627718,0.19998
3,RL,0,Balanced,-0.200891,Low,0,Low,0,3.24153,719.642,6.58014,0.0628003,0.19997
4,RL,0,Balanced,-0.542498,Low,0,Low,0,3.26149,723.562,6.58557,0.0625328,0.19996
5,RL,0,Balanced,-0.087738,Low,0,Low,0,3.26993,724.198,6.58645,0.0628664,0.19995
6,RL,0,Balanced,0.380516,Low,0,Low,0,3.25685,721.444,6.58264,0.0624207,0.19994
7,RL,0,Balanced,0.79031,Low,0,Low,0,3.22907,715.757,6.57474,0.0627665,0.19993
8,RL,0,Balanced,-1,Low,0,Low,0,3.27831,727.939,6.59159,0.0626573,0.19992
9,RL,0,Balanced,1,Low,0,Low,0,3.24031,718.186,6.57812,0.0628018,0.19991
10,RL,0,Balanced,-0.796127,Low,0,Low,0,3.26458,723.934,6.58608,0.0627749,0.1999
11,RL,0,Balanced,-0.304222,Low,0,Low,0,3.27776,726.143,6.58912,0.0630623,0.19989
12,RL,0,Balanced,0.947475,Low,0,Low,0,3.24706,719.286,6.57965,0.0631761,0.19988
13,RL,0,Balanced,-0.569773,Low,0,Low,0,3.2636,723.402,6.58535,0.0626089,0.19987
14,RL,0,Balanced,0.224018,Low,0,Low,0,3.25384,721.781,6.58311,0.0627165,0.19986
15,RL,0,Balanced,-0.222731,Low,0,Low,0,3.25799,723.392,6.58533,0.0624721,0.19985
16,RL,0,BSDF Heavy,0.205135,Low,0,Low,0,3.24972,721.908,6.58328,0.0622908,0.19984
17,RL,0,BSDF Heavy,0.774336,Low,0,Low,0,3.23871,716.332,6.57554,0.0662215,0.19983
18,RL,0,BSDF Heavy,-1,Low,0,Low,0,3.28916,728.945,6.59297,0.0659356,0.19982
19,RL,0,BSDF Heavy,1,Low,0,Low,0,3.25587,720.784,6.58173,0.0658857,0.19981
20,RL,0,BSDF Heavy,-0.0619888,Low,0,Low,0,3.25476,721.232,6.58235,0.0656728,0.1998
21,RL,0,BSDF Heavy,-0.76046,Low,0,Low,0,3.28006,726.745,6.58995,0.0658741,0.19979
22,RL,0,BSDF Heavy,1,Low,0,Low,0,3.24897,719.206,6.57954,0.0656659,0.19978
23,RL,0,BSDF Heavy,0.00152588,Low,0,Low,0,3.24378,719.195,6.57952,0.0654776,0.19977
