Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
1,RL,79,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.25957,721.745,6.58306,0.0627142,0.1
2,RL,120,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.24389,717.002,6.57647,0.0658703,0.1
3,RL,121,BSDF Heavy,0,High,4,Low-Medium,1,High,2,Medium,1,3.24433,719.309,6.57968,0.0656812,0.1
4,RL,124,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.26656,723.172,6.58503,0.0657635,0.1
5,RL,124,BSDF Heavy,0,High,4,High,4,High,2,Medium,1,3.25878,721.953,6.58334,0.0660148,0.1
6,RL,120,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.24109,718,6.57786,0.0656543,0.1
7,RL,120,BSDF Heavy,0,High,4,Low,0,High,2,Medium,1,3.24298,717.952,6.57779,0.0656029,0.1
8,RL,124,Light Heavy,0,High,4,High,4,High,2,High,2,3.28997,729.816,6.59416,0.0658311,0.19992
9,RL,15,Light Heavy,0,High,4,Low,0,High,2,High,2,3.22532,715.312,6.57412,0.0576869,0.19992
10,RL,34,Light Heavy,0,High,4,High,4,High,2,High,2,3.26978,725.482,6.58821,0.057866,0.19992
11,RL,34,Light Heavy,0,High,4,High,4,High,2,High,2,3.2625,723.994,6.58616,0.0579305,0.19992
12,RL,15,Light Heavy,0,High,4,Low,0,High,2,High,2,3.22913,716.899,6.57633,0.0577753,0.19992
13,RL,34,Light Heavy,0,High,4,High,4,High,2,High,2,3.26439,724.867,6.58737,0.057846,0.19992
14,RL,34,Light Heavy,0,High,4,High,4,High,2,High,2,3.25713,723.691,6.58575,0.057836,0.19992
15,RL,34,Light Heavy,0,High,4,High,4,High,2,High,2,3.24633,721.9,6.58327,0.0575709,0.19992
16,RL,34,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.25759,724.084,6.58629,0.0575847,0.19984
17,RL,105,BSDF Heavy,0,High,4,Low,0,High,2,Low,0,3.23871,716.332,6.57554,0.0662215,0.19984
18,RL,124,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.28916,728.945,6.59297,0.0659356,0.19984
19,RL,124,BSDF Heavy,0,High,4,High,4,High,2,Low,0,3.25587,720.784,6.58173,0.0658857,0.19984
